Trial,Eccentricity,RT,IT,Brightness,Stim ID
1,45,501,574,15,2
2,0,613,431,15,0
3,15,498,609,15,1
4,15,528,659,15,2
5,15,607,645,15,1
6,15,547,752,15,2
7,-30,285,718,15,0
8,15,322,344,15,1
9,-45,335,739,15,1
10,0,456,393,15,1
11,-30,252,345,15,1
12,0,266,648,15,1
13,0,281,351,15,0
14,-45,411,489,15,2
15,-45,596,354,15,0
16,45,354,421,15,0
17,0,462,620,15,1
18,-30,324,492,15,1
19,30,344,337,15,1
20,45,370,398,15,2
21,15,463,389,15,1
22,45,463,681,15,2
23,-30,304,667,15,1
24,30,504,590,15,2
25,15,400,435,15,2
26,30,319,729,15,2
27,45,334,520,15,2
28,-30,488,799,15,0
29,0,341,637,15,1
30,-15,353,409,15,0
31,45,404,533,15,0
32,30,461,412,15,0
33,-45,389,733,15,2
34,15,360,582,15,2
35,-45,504,499,15,1
36,15,448,510,15,0
37,-15,533,620,15,1
38,15,427,647,15,2
39,15,575,384,15,0
40,-30,507,311,15,1
41,0,400,622,15,2
42,30,373,630,15,2
43,15,402,340,15,1
44,15,434,497,15,1
45,0,269,745,15,1
46,0,442,666,15,2
47,-45,375,694,15,2
48,-15,440,734,15,1
49,-15,534,487,15,2
50,-30,514,573,15,1
51,15,392,585,15,0
52,0,350,486,15,2
53,-45,382,642,15,1
54,-45,322,450,15,1
55,-30,457,610,15,2
56,0,432,640,15,2
57,-15,324,545,15,0
58,-15,507,622,15,2
59,45,336,739,15,2
60,-30,499,541,15,1
61,45,515,319,15,2
62,-30,489,513,15,2
63,-30,239,699,15,2
64,45,410,524,15,1
65,30,429,407,15,0
66,-15,298,416,15,1
67,-30,321,629,15,1
68,30,364,594,15,1
69,45,578,369,15,0
70,45,471,594,15,2
71,-45,513,706,15,2
72,15,489,654,15,0
73,45,488,621,15,0
74,45,337,521,15,0
75,45,504,518,15,1
76,-30,554,656,15,1
77,-45,299,520,15,1
78,-45,364,387,15,2
79,15,0,426,15,0
80,0,286,540,15,1
81,0,443,668,15,2
82,-15,292,316,15,2
83,-15,395,525,15,0
84,15,479,697,15,2
85,15,365,591,15,2
86,0,455,745,15,1
87,15,445,676,15,2
88,-45,339,398,15,2
89,15,424,401,15,1
90,45,423,713,15,2
91,0,371,533,15,1
92,-30,416,598,15,0
93,30,392,324,15,0
94,30,1086,371,15,1
95,30,430,697,15,2
96,-45,490,331,15,1
97,0,349,533,15,2
98,45,442,758,15,2
99,-30,378,471,15,0
100,30,346,730,15,0
