Trial,Ecc,RT,IT,Brightness,"Stim ID (R, B, Y)"
274,15,337,733,15,1
275,0,251,505,15,1
276,-45,283,417,15,2
277,-15,402,392,15,0
278,15,279,570,15,0
279,45,0,670,15,1
280,-15,322,522,15,1
281,15,350,557,15,0
282,0,328,534,15,0
283,-45,0,398,15,1
284,-30,225,319,15,1
285,-15,391,703,15,2
286,15,361,300,15,2
287,-15,0,725,15,0
288,45,130,388,15,0
289,-30,0,562,15,0
290,-30,283,526,15,0
291,-15,391,763,15,1
292,0,329,690,15,0
293,45,286,450,15,0
294,-45,501,566,15,1
295,45,263,704,15,0
296,-30,315,657,15,2
297,-30,0,487,15,2
298,-30,0,381,15,0
299,-30,0,532,15,1
300,30,231,334,15,0
301,15,246,377,15,1
302,0,296,785,15,1
303,30,382,354,15,0
304,45,0,502,15,1
305,-15,204,430,15,1
306,30,270,798,15,1
307,-45,261,469,15,1
308,-45,0,427,15,0
309,15,0,583,15,1
310,15,0,500,15,2
311,45,313,309,15,1
312,30,0,742,15,2
313,45,413,617,15,0
314,-15,439,755,15,0
315,0,358,546,15,0
316,15,0,598,15,1
317,0,258,390,15,1
318,0,315,764,15,0
319,45,294,462,15,0
320,0,0,622,15,0
321,0,255,305,15,0
322,-45,0,796,15,0
323,-45,492,409,15,2
324,-30,0,667,15,0
325,0,0,375,15,2
326,-30,244,437,15,2
327,30,402,731,15,0
328,-30,304,484,15,0
329,45,0,487,15,2
330,30,404,618,15,2
331,-30,355,546,15,0
332,-30,315,487,15,1
333,45,282,493,15,0
334,15,324,695,15,0
335,30,329,775,15,1
336,0,268,428,15,1
337,-30,271,761,15,0
338,15,374,478,15,2
339,30,0,753,15,0
340,45,346,789,15,0
341,0,309,710,15,1
342,-15,333,785,15,0
343,-30,301,686,15,0
344,-45,0,672,15,0
345,45,250,742,15,0
346,0,330,329,15,1
347,-30,338,712,15,0
348,15,350,550,15,0
349,15,331,515,15,1
350,15,280,708,15,2
351,45,300,506,15,0
352,30,293,517,15,0
353,45,260,487,15,0
354,-15,333,404,15,0
355,-30,319,443,15,1
356,-30,262,408,15,1
357,-30,287,749,15,2
358,15,385,568,15,2
359,-45,464,524,15,0
360,15,239,727,15,0
361,30,0,315,15,1
362,-45,319,448,15,0
363,45,0,353,15,1
364,-45,353,340,15,0
365,45,0,471,15,2
366,15,362,500,15,2
367,-45,0,797,15,2
368,0,300,530,15,2
369,-30,0,702,15,0
370,30,0,701,15,2
371,0,298,729,15,1
372,0,0,716,15,0
373,0,0,795,15,2
374,30,0,371,15,0
375,-15,0,363,15,1
376,15,249,459,15,1
377,-45,420,349,15,0
378,15,361,650,15,1
379,0,324,554,15,0
380,45,279,565,15,0
381,30,264,364,15,0
382,15,0,504,15,2
383,-30,319,618,15,0
384,-45,0,444,15,1
385,15,259,650,15,1
386,15,303,605,15,0
387,0,0,732,15,0
388,-45,0,733,15,1
389,0,342,746,15,0
390,-15,0,391,15,2
391,0,0,744,15,2
392,-15,0,445,15,1
393,-45,0,336,15,0
394,-45,459,400,15,0
395,-15,462,423,15,2
396,30,0,698,15,1
397,45,0,766,15,2
398,15,322,672,15,1
399,15,271,427,15,0
400,-30,0,432,15,0
401,-15,0,384,15,2
402,15,390,703,15,1
403,-30,260,396,15,1
404,-45,0,472,15,0
405,0,0,598,15,1
406,15,293,797,15,1
407,30,0,332,15,2
408,45,0,547,15,0
409,-45,281,681,15,2
410,-30,0,500,15,1
411,15,0,391,15,2
412,15,288,308,15,1
413,0,0,635,15,2
414,0,289,320,15,2
415,15,248,551,15,0
416,-45,0,778,15,1
417,0,334,589,15,0
418,0,257,397,15,1
419,-30,300,351,15,0
420,30,0,770,15,2
421,30,352,334,15,1
422,45,350,733,15,1
423,0,267,745,15,1
424,-15,0,420,15,2
425,30,0,384,15,0
426,30,382,387,15,1
427,15,293,653,15,1
428,15,229,658,15,0
429,45,423,425,15,2
430,0,275,729,15,1
431,-30,0,421,15,2
432,0,0,606,15,0
433,-45,0,526,15,1
434,-30,266,391,15,0
435,-30,0,405,15,1
436,0,319,796,15,1
437,-15,0,364,15,2
438,15,282,695,15,0
439,45,420,593,15,0
440,-30,292,766,15,2
441,30,356,382,15,1
442,30,266,428,15,0
443,-30,325,482,15,1
444,45,365,525,15,1
445,-15,242,400,15,1
446,-30,258,358,15,1
447,-45,296,736,15,1
448,15,0,345,15,2
449,-30,0,485,15,1
450,-30,312,734,15,0
451,-45,0,773,15,0
452,0,0,300,15,2
453,30,0,512,15,0
454,-30,249,634,15,0
455,45,315,548,15,1
456,-15,0,330,15,0
457,45,0,679,15,2
458,45,0,560,15,0
459,-45,0,623,15,1
460,45,0,757,15,1
461,0,0,490,15,2
462,-45,244,351,15,2
463,-30,0,630,15,0
464,30,0,598,15,2
465,45,331,553,15,2
466,-30,301,500,15,2
467,-30,339,765,15,0
468,-15,467,684,15,2
469,15,303,734,15,2
470,45,358,656,15,0
471,30,463,475,15,1
472,-30,392,330,15,0
473,45,309,335,15,0
474,45,0,764,15,2
475,0,0,366,15,0
476,-30,0,542,15,1
477,-45,411,653,15,2
478,15,338,514,15,1
479,15,0,736,15,2
480,-30,343,554,15,1
