Trial,Eccentricity,RT,IT,Brightness,Stim ID
1,45,488,688,15,1
2,-45,341,600,15,0
3,30,356,550,15,1
4,-30,521,430,15,2
5,-15,401,335,15,1
6,-45,300,611,15,1
7,-45,507,751,15,2
8,15,609,535,15,0
9,30,478,712,15,1
10,-15,471,655,15,1
11,45,328,745,15,2
12,15,0,682,15,0
13,0,348,662,15,1
14,30,359,484,15,1
15,30,481,493,15,2
16,45,0,411,15,0
17,45,320,508,15,0
18,-45,327,651,15,0
19,15,285,673,15,0
20,-15,334,496,15,1
21,0,473,539,15,0
22,45,429,582,15,0
23,-30,347,474,15,0
24,15,0,456,15,0
25,-30,363,558,15,1
26,0,437,710,15,2
27,-30,497,576,15,1
28,-30,433,340,15,0
29,-30,738,377,15,0
30,45,491,570,15,1
31,-30,523,409,15,1
32,-45,534,529,15,0
33,-30,455,518,15,2
34,45,477,723,15,1
35,45,343,594,15,1
36,0,354,579,15,0
37,45,380,561,15,0
38,-15,337,315,15,0
39,-45,765,507,15,2
40,15,459,609,15,1
41,0,0,642,15,2
42,-15,438,499,15,1
43,30,295,772,15,0
44,30,466,421,15,2
45,15,524,409,15,2
46,15,396,308,15,1
47,0,860,389,15,2
48,0,701,602,15,1
49,15,295,425,15,0
50,15,564,784,15,2
51,-15,735,382,15,0
52,-30,530,624,15,2
53,0,441,720,15,2
54,15,438,408,15,1
55,15,473,589,15,2
56,15,442,534,15,0
57,0,0,483,15,1
58,0,249,616,15,1
59,15,435,427,15,2
60,0,427,359,15,0
61,0,579,442,15,2
62,-30,426,797,15,2
63,30,625,544,15,0
64,-30,328,570,15,1
65,30,380,730,15,1
66,15,353,337,15,1
67,15,0,340,15,0
68,30,312,537,15,0
69,-45,486,606,15,1
70,15,390,513,15,1
71,15,272,665,15,0
72,0,434,780,15,2
73,30,343,443,15,1
74,-30,364,771,15,0
75,45,341,361,15,0
76,-15,361,387,15,0
77,45,461,632,15,1
78,-30,355,713,15,1
79,-45,389,436,15,2
80,15,354,423,15,1
81,0,405,734,15,1
82,30,725,681,15,0
83,15,474,583,15,1
84,45,525,712,15,0
85,45,383,560,15,1
86,0,418,796,15,0
87,45,490,738,15,1
88,15,480,654,15,2
89,45,391,465,15,2
90,-15,506,586,15,1
91,-30,367,373,15,1
92,0,412,463,15,2
93,-30,0,326,15,0
94,45,481,524,15,2
95,15,372,305,15,0
96,30,409,446,15,1
97,0,450,642,15,0
98,0,269,516,15,1
99,-15,484,365,15,0
100,30,310,727,15,1
101,-15,340,403,15,1
102,45,599,623,15,2
103,15,593,591,15,2
104,-30,249,517,15,2
105,30,0,524,15,0
106,-30,357,401,15,1
107,-45,312,610,15,0
108,0,685,497,15,2
109,-45,334,783,15,1
110,30,351,373,15,0
111,-30,288,423,15,0
112,45,575,399,15,2
113,-15,0,607,15,0
114,45,454,689,15,2
115,-45,424,561,15,0
116,-30,467,478,15,2
117,45,321,659,15,0
118,45,462,385,15,2
119,0,446,670,15,1
120,30,372,536,15,1
121,-15,470,746,15,0
122,45,426,550,15,2
123,45,408,654,15,2
124,-15,392,524,15,2
125,30,383,521,15,2
126,15,524,719,15,1
127,-30,477,435,15,1
128,-45,616,603,15,2
129,45,481,545,15,2
130,-45,381,342,15,2
131,-45,610,372,15,1
132,-30,962,590,15,2
133,30,559,645,15,1
134,-45,0,662,15,0
135,0,364,725,15,1
136,-30,355,607,15,2
137,-15,384,499,15,0
138,15,0,431,15,0
139,45,342,416,15,0
140,-30,313,797,15,0
141,-15,0,703,15,2
142,-45,419,611,15,0
143,30,544,409,15,0
144,45,383,465,15,2
145,45,580,786,15,2
146,-45,627,516,15,1
147,15,356,512,15,1
148,-45,524,371,15,2
149,30,444,461,15,2
150,45,410,596,15,2
151,-45,471,509,15,1
152,-45,517,710,15,0
153,-45,392,462,15,0
154,-30,449,654,15,1
155,0,370,569,15,1
156,0,686,637,15,0
157,0,354,308,15,2
158,-45,510,458,15,2
159,0,408,450,15,2
160,45,444,371,15,0
161,0,503,667,15,1
162,45,629,626,15,2
163,45,656,418,15,0
164,-15,503,675,15,1
165,45,415,354,15,1
166,30,0,317,15,2
167,-45,924,580,15,1
168,15,352,470,15,1
169,45,0,602,15,0
170,-45,472,613,15,1
171,45,276,563,15,1
172,-45,399,714,15,0
173,0,411,527,15,2
174,30,948,428,15,2
175,45,0,516,15,1
176,15,0,435,15,0
177,45,640,411,15,0
178,-45,469,661,15,0
179,30,428,314,15,0
180,0,447,335,15,2
181,-15,323,598,15,1
182,30,379,469,15,1
183,15,582,346,15,2
184,15,484,479,15,2
185,30,338,681,15,2
186,30,463,611,15,0
187,-15,0,618,15,2
188,-15,669,705,15,0
189,-30,512,332,15,2
190,30,695,406,15,2
191,-30,548,741,15,1
192,30,0,703,15,1
193,0,229,773,15,1
194,-30,505,689,15,0
195,30,430,379,15,0
196,-30,465,463,15,0
197,30,395,321,15,0
198,-15,418,449,15,0
199,-45,622,561,15,1
200,45,484,626,15,1
201,30,352,449,15,2
202,0,346,418,15,2
203,45,559,404,15,0
204,-15,591,778,15,2
205,-15,437,717,15,0
206,0,399,313,15,1
207,-15,515,763,15,0
208,-45,0,439,15,2
209,45,388,601,15,2
210,-15,507,439,15,0
211,30,566,425,15,0
212,30,528,718,15,1
213,0,468,674,15,1
214,0,415,352,15,1
215,30,521,483,15,2
216,-30,478,321,15,0
217,0,386,369,15,0
218,-45,456,387,15,1
219,45,519,442,15,2
220,-45,1411,460,15,1
221,-45,0,646,15,2
222,45,385,548,15,2
223,-30,657,349,15,2
224,-15,420,422,15,2
225,0,585,521,15,2
226,-15,313,762,15,2
227,0,365,498,15,2
228,-45,351,403,15,0
