Trial,Eccentricity,RT,IT,Brightness,Stim ID
1,-45,338,460,15,0
2,45,416,351,15,0
3,45,314,506,15,0
4,15,314,521,15,0
5,15,270,614,15,0
6,0,262,685,15,0
7,45,340,455,15,0
8,30,265,420,15,0
9,45,323,575,15,0
10,-15,362,685,15,0
11,-15,118,714,15,0
12,15,258,439,15,0
13,-15,405,413,15,0
14,-30,212,422,15,0
15,15,161,654,15,0
16,15,196,445,15,0
17,-30,272,307,15,0
18,30,193,587,15,0
19,-15,181,540,15,0
20,0,157,548,15,0
21,30,291,589,15,0
22,-30,269,362,15,0
23,15,0,791,15,0
24,-30,179,660,15,0
25,-45,249,379,15,0
26,15,201,403,15,0
27,0,128,610,15,0
28,45,0,648,15,0
29,-15,242,372,15,0
30,30,226,485,15,0
31,30,216,739,15,0
32,15,207,608,15,0
33,15,415,702,15,0
34,-30,194,713,15,0
35,45,279,520,15,0
36,-45,173,610,15,0
37,-30,242,665,15,0
38,-30,269,453,15,0
39,30,278,761,15,0
40,30,366,317,15,0
41,-30,513,342,15,0
42,30,304,438,15,0
43,30,283,397,15,0
44,15,293,687,15,0
45,30,370,467,15,0
46,30,296,304,15,0
47,30,234,649,15,0
48,45,258,632,15,0
49,45,316,448,15,0
50,0,201,746,15,0
51,30,293,692,15,0
52,-15,266,757,15,0
53,-45,398,334,15,0
54,-30,268,372,15,0
55,30,218,679,15,0
56,-45,304,359,15,0
57,45,263,530,15,0
58,-30,223,761,15,0
59,0,287,440,15,0
60,-45,334,303,15,0
61,-15,257,602,15,0
62,-15,523,373,15,0
63,30,351,430,15,0
64,-15,267,408,15,0
65,-15,250,584,15,0
66,15,277,721,15,0
67,0,276,581,15,0
68,0,227,798,15,0
69,-15,270,617,15,0
70,30,276,499,15,0
71,30,261,572,15,0
72,0,232,723,15,0
73,-30,261,549,15,0
74,15,215,709,15,0
75,-45,257,635,15,0
76,45,328,788,15,0
77,-30,311,491,15,0
78,-45,260,533,15,0
79,0,211,564,15,0
80,15,243,508,15,0
81,-30,175,722,15,0
82,15,247,631,15,0
83,-30,291,770,15,0
84,0,283,586,15,0
85,-30,221,460,15,0
86,-15,261,477,15,0
87,30,200,595,15,0
88,-30,323,551,15,0
89,15,325,688,15,0
90,30,389,381,15,0
91,-15,177,696,15,0
92,-30,297,531,15,0
93,-15,253,351,15,0
94,15,304,354,15,0
95,0,272,575,15,0
96,30,252,707,15,0
97,45,297,584,15,0
98,15,0,611,15,0
99,0,177,693,15,0
100,45,624,418,15,0
101,30,286,653,15,0
102,-15,347,515,15,0
103,30,246,779,15,0
104,15,308,392,15,0
105,-45,273,787,15,0
106,-15,244,747,15,0
107,15,263,751,15,0
108,-15,283,350,15,0
109,45,317,652,15,0
110,-15,579,673,15,0
111,-45,241,708,15,0
112,30,288,528,15,0
113,45,546,423,15,0
114,-45,261,729,15,0
115,-15,304,555,15,0
116,-45,369,797,15,0
117,15,401,738,15,0
118,-30,391,563,15,0
119,-45,324,553,15,0
120,-30,299,647,15,0
121,-15,308,602,15,0
122,0,366,681,15,0
123,-30,300,454,15,0
124,-45,341,467,15,0
125,-30,238,787,15,0
126,-30,363,520,15,0
127,-30,326,769,15,0
128,45,840,393,15,0
129,-45,339,367,15,0
130,-15,261,761,15,0
131,-30,340,477,15,0
132,15,297,575,15,0
133,-15,208,690,15,0
134,15,260,413,15,0
135,45,280,450,15,0
136,15,253,693,15,0
137,0,293,544,15,0
138,-45,326,459,15,0
139,-15,240,675,15,0
140,-30,177,780,15,0
141,-45,291,449,15,0
142,45,250,736,15,0
143,45,298,796,15,0
144,-15,226,543,15,0
145,0,213,424,15,0
146,45,237,562,15,0
147,-30,249,315,15,0
148,45,246,724,15,0
149,-30,266,339,15,0
150,45,694,392,15,0
151,-45,334,632,15,0
152,45,334,362,15,0
153,30,287,713,15,0
154,30,385,758,15,0
155,-30,625,425,15,0
156,45,337,717,15,0
157,0,426,590,15,0
158,-45,414,565,15,0
159,0,314,522,15,0
160,-30,463,392,15,0
161,30,490,597,15,0
162,-15,499,680,15,0
163,30,557,403,15,0
164,-30,270,494,15,0
165,-45,452,768,15,0
166,-30,675,714,15,0
167,30,376,657,15,0
168,45,441,380,15,0
169,30,411,738,15,0
170,45,760,420,15,0
171,30,399,715,15,0
172,45,475,535,15,0
173,45,587,329,15,0
174,-45,307,575,15,0
175,-30,355,666,15,0
176,-45,328,428,15,0
177,30,357,796,15,0
178,30,622,342,15,0
179,30,358,622,15,0
180,15,384,685,15,0
181,-15,559,435,15,0
182,15,350,472,15,0
183,-45,353,591,15,0
184,0,343,313,15,0
185,30,323,729,15,0
186,30,391,379,15,0
187,-30,293,470,15,0
188,-45,362,373,15,0
189,15,349,684,15,0
190,30,678,433,15,0
191,-30,299,768,15,0
192,-30,298,578,15,0
193,45,305,745,15,0
194,0,260,564,15,0
195,-30,296,333,15,0
196,45,136,681,15,0
197,-45,336,685,15,0
198,45,267,666,15,0
199,30,235,525,15,0
200,45,246,704,15,0
