1,-30,654,644,15,1
2,-45,254,423,15,1
3,60,145,402,15,1
4,-15,137,426,15,1
5,-60,136,389,15,1
6,30,115,547,15,1
7,30,821,530,15,1
8,0,61,505,15,1
9,0,168,663,15,1
10,-15,37,644,15,1
11,-60,15,492,15,1
12,0,169,318,15,1
13,30,263,759,15,1
14,60,234,611,15,1
15,-30,187,755,15,1
16,30,183,724,15,1
17,-30,108,766,15,1
18,15,101,787,15,1
19,15,145,576,15,1
20,-45,158,535,15,1
21,-60,0,786,15,1
22,15,266,333,15,1
23,-45,169,496,15,1
24,0,180,420,15,1
25,-45,193,344,15,1
26,60,19,634,15,1
27,30,66,594,15,1
28,-15,173,445,15,1
29,0,177,484,15,1
30,15,176,420,15,1
31,-45,0,619,15,1
32,30,159,497,15,1
33,45,210,305,15,1
34,-15,112,434,15,1
35,-45,77,768,15,1
36,30,126,708,15,1
37,-60,286,325,15,1
38,30,170,781,15,1
39,-45,177,352,15,1
40,-15,161,507,15,1
41,30,143,575,15,1
42,45,361,622,15,1
43,0,12,647,15,1
44,-15,186,676,15,1
45,60,204,418,15,1
46,-15,194,435,15,1
47,-15,165,522,15,1
48,15,160,574,15,1
49,-15,336,677,15,1
50,15,193,481,15,1
51,45,185,717,15,1
52,45,248,382,15,1
53,0,168,385,15,1
54,-30,130,534,15,1
55,30,161,652,15,1
56,45,142,757,15,1
57,-45,178,735,15,1
58,60,193,739,15,1
59,-60,192,679,15,1
60,60,181,484,15,1
61,60,168,581,15,1
62,45,201,433,15,1
63,30,258,630,15,1
64,-15,198,401,15,1
65,-45,198,375,15,1
66,15,172,521,15,1
67,45,189,684,15,1
68,15,190,515,15,1
69,0,186,613,15,1
70,-15,161,689,15,1
71,-45,219,354,15,1
72,30,185,578,15,1
73,-30,173,525,15,1
74,30,180,771,15,1
75,-30,287,733,15,1
76,-30,269,311,15,1
77,-60,231,786,15,1
78,-45,262,664,15,1
79,-15,181,388,15,1
80,60,173,602,15,1
81,0,165,645,15,1
82,-45,46,700,15,1
83,15,247,315,15,1
84,-15,136,625,15,1
85,-45,125,495,15,1
86,-15,137,647,15,1
87,-30,179,692,15,1
88,-60,173,472,15,1
89,60,197,515,15,1
90,60,209,519,15,1
91,0,365,733,15,1
92,30,163,717,15,1
93,-30,163,628,15,1
94,0,177,430,15,1
95,15,199,443,15,1
96,-15,115,465,15,1
97,45,207,431,15,1
98,30,281,401,15,1
99,30,220,647,15,1
100,-45,174,568,15,1
101,0,186,592,15,1
102,60,228,316,15,1
103,-30,140,404,15,1
104,-30,107,554,15,1
105,-30,93,745,15,1
106,15,164,647,15,1
107,15,192,546,15,1
108,-60,179,658,15,1
109,15,175,749,15,1
110,0,166,714,15,1
111,15,232,341,15,1
112,-15,163,743,15,1
113,-45,219,345,15,1
114,60,182,471,15,1
115,-60,191,613,15,1
116,-15,171,706,15,1
117,-60,198,498,15,1
118,-60,212,415,15,1
119,0,195,326,15,1
120,0,173,422,15,1
121,45,144,721,15,1
122,-45,236,312,15,1
123,15,209,336,15,1
124,45,219,566,15,1
125,30,196,476,15,1
126,-30,189,509,15,1
127,30,65,792,15,1
128,-30,190,692,15,1
129,-30,225,351,15,1
130,45,228,319,15,1
131,30,166,754,15,1
132,-45,175,498,15,1
133,15,174,738,15,1
134,45,196,460,15,1
135,15,195,482,15,1
136,-45,222,345,15,1
137,45,236,584,15,1
138,-60,200,552,15,1
139,45,193,590,15,1
140,-60,188,618,15,1
141,30,179,655,15,1
142,60,155,691,15,1
143,-45,118,752,15,1
144,-60,203,754,15,1
145,45,253,426,15,1
146,15,174,708,15,1
147,60,221,631,15,1
148,30,183,753,15,1
149,-15,169,525,15,1
150,-60,70,509,15,1
151,60,47,794,15,1
152,15,201,425,15,1
153,15,174,613,15,1
154,-45,198,382,15,1
155,30,161,555,15,1
156,30,171,565,15,1
157,-15,163,473,15,1
158,60,203,506,15,1
159,0,201,382,15,1
160,-45,165,473,15,1
161,60,174,432,15,1
162,45,178,411,15,1
163,15,126,570,15,1
164,30,178,673,15,1
165,30,213,379,15,1
166,-15,136,606,15,1
167,-60,171,576,15,1
168,-60,208,457,15,1
169,0,155,691,15,1
170,30,216,326,15,1
171,30,172,680,15,1
172,-45,193,779,15,1
173,60,244,544,15,1
174,-30,197,397,15,1
175,30,78,670,15,1
176,30,219,379,15,1
177,60,174,746,15,1
178,-45,215,459,15,1
179,0,158,386,15,1
180,60,143,416,15,1
181,0,134,758,15,1
182,30,212,380,15,1
183,-15,173,399,15,1
184,0,188,669,15,1
185,15,168,548,15,1
186,60,176,645,15,1
187,-30,173,749,15,1
188,45,33,681,15,1
189,60,251,329,15,1
190,-15,177,418,15,1
191,-15,159,491,15,1
192,0,139,606,15,1
193,15,171,751,15,1
194,30,174,721,15,1
195,15,189,418,15,1
196,-15,106,736,15,1
197,15,196,539,15,1
198,-30,193,408,15,1
199,45,213,499,15,1
200,15,116,661,15,1
201,15,199,525,15,1
202,-15,11,668,15,1
