Trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,-45,0,356,15,0,1
2,30,234,737,15,1,1
3,15,189,794,15,1,1
4,60,229,483,15,1,1
5,30,332,351,15,1,1
6,30,297,763,15,1,1
7,-60,193,674,15,1,1
8,60,205,335,15,1,1
9,-15,168,560,15,1,1
10,15,185,377,15,1,1
11,0,298,516,15,1,1
12,30,150,478,15,1,1
13,0,224,314,15,1,1
14,45,166,704,15,1,1
15,-30,152,710,15,1,1
16,60,158,526,15,1,1
17,-60,155,351,15,1,1
18,0,147,315,15,1,1
19,0,156,374,15,1,1
20,15,0,596,15,1,1
21,-15,180,310,15,1,1
22,-45,295,786,15,1,1
23,-60,206,309,15,1,1
24,45,171,430,15,1,1
25,-15,163,385,15,1,1
26,-60,139,491,15,1,1
27,-45,172,302,15,1,1
28,15,311,666,15,1,1
29,30,151,787,15,1,1
30,60,255,451,15,1,1
31,-15,123,767,15,1,1
32,-45,175,730,15,1,1
33,15,194,306,15,1,1
34,-15,152,483,15,1,1
35,-45,130,632,15,1,1
36,45,99,692,15,1,1
37,30,0,744,15,1,1
38,-30,73,638,15,1,1
39,-15,137,656,15,1,1
40,-15,126,637,15,1,1
41,60,52,764,15,1,1
42,30,179,595,15,1,1
43,0,73,768,15,1,1
44,-30,228,337,15,1,1
45,-60,357,794,15,1,1
46,-60,189,675,15,1,1
47,15,183,508,15,1,1
48,-45,150,530,15,1,1
49,15,119,634,15,1,1
50,-30,144,501,15,1,1
51,-15,186,302,15,1,1
52,45,46,585,15,1,1
53,60,119,579,15,1,1
54,15,139,799,15,1,1
55,60,0,711,15,1,1
56,45,192,533,15,1,1
57,15,63,751,15,1,1
58,0,275,668,15,1,1
59,-45,189,665,15,1,1
60,45,148,745,15,1,1
61,45,105,651,15,1,1
62,-30,0,770,15,1,1
63,60,191,345,15,1,1
64,-60,144,705,15,1,1
65,45,148,632,15,1,1
66,-60,172,398,15,1,1
67,0,138,587,15,1,1
68,-60,218,408,15,1,1
69,-45,130,422,15,1,1
70,30,0,738,15,1,1
71,-60,182,605,15,1,1
72,-45,179,552,15,1,1
73,0,98,502,15,1,1
74,30,215,565,15,1,1
75,45,185,386,15,1,1
76,-45,231,462,15,1,1
77,-30,165,581,15,1,1
78,15,267,502,15,1,1
79,15,149,554,15,1,1
80,0,139,781,15,1,1
81,-30,163,403,15,1,1
82,15,117,692,15,1,1
83,30,152,379,15,1,1
84,-15,122,465,15,1,1
85,-30,0,678,15,1,1
86,30,147,476,15,1,1
87,30,32,587,15,1,1
88,-30,77,515,15,1,1
89,0,283,387,15,1,1
90,30,248,325,15,1,1
91,-15,151,365,15,1,1
92,0,93,594,15,1,1
93,15,74,751,15,1,1
94,-60,200,358,15,1,1
95,45,0,759,15,1,1
96,-30,139,604,15,1,1
97,45,148,529,15,1,1
98,60,200,476,15,1,1
99,15,173,539,15,1,1
100,15,213,311,15,1,1
101,-30,263,666,15,1,1
102,0,200,363,15,1,1
103,-45,125,617,15,1,1
104,-15,178,592,15,1,1
105,-60,249,366,15,1,1
106,-30,178,476,15,1,1
107,30,189,321,15,1,1
108,-30,191,659,15,1,1
109,-30,170,533,15,1,1
110,-15,183,369,15,1,1
111,-60,75,599,15,1,1
112,45,153,793,15,1,1
113,-45,155,390,15,1,1
114,15,190,510,15,1,1
115,45,154,714,15,1,1
116,30,212,474,15,1,1
117,-15,194,527,15,1,1
118,-45,239,571,15,1,1
119,0,131,791,15,1,1
120,15,159,545,15,1,1
121,60,34,719,15,1,1
122,60,0,738,15,1,1
123,-60,256,322,15,1,1
124,-15,226,551,15,1,1
125,15,75,787,15,1,1
126,45,212,773,15,1,1
127,30,80,779,15,1,1
128,45,152,566,15,1,1
129,-30,29,756,15,1,1
130,15,1,796,15,1,1
131,-60,176,537,15,1,1
132,-30,191,361,15,1,1
133,-15,91,600,15,1,1
134,-45,222,390,15,1,1
135,15,0,798,15,1,1
136,-15,287,390,15,1,1
137,-15,118,603,15,1,1
138,60,228,311,15,1,1
139,15,219,719,15,1,1
140,-45,282,365,15,1,1
141,0,110,747,15,1,1
142,-45,157,748,15,1,1
143,60,201,548,15,1,1
144,0,164,705,15,1,1
145,-60,229,441,15,1,1
146,60,201,692,15,1,1
147,45,258,308,15,1,1
148,30,142,595,15,1,1
149,15,131,794,15,1,1
150,60,520,481,15,1,1
151,-45,285,331,15,1,1
152,60,209,373,15,1,1
153,-15,221,380,15,1,1
154,-60,0,606,15,1,1
155,-45,148,555,15,1,1
156,0,159,483,15,1,1
157,30,129,667,15,1,1
158,-15,393,340,15,1,1
159,-45,1,772,15,1,1
160,-60,86,667,15,1,1
161,30,202,326,15,1,1
162,-60,145,404,15,1,1
163,-30,0,739,15,1,1
164,-15,118,488,15,1,1
165,-45,0,778,15,1,1
166,0,160,719,15,1,1
167,-60,245,353,15,1,1
168,0,3,770,15,1,1
169,-60,194,477,15,1,1
170,-45,239,457,15,1,1
171,15,162,378,15,1,1
172,-15,150,523,15,1,1
173,-30,213,498,15,1,1
174,30,257,664,15,1,1
175,15,280,597,15,1,1
176,-60,456,320,15,1,1
177,15,176,537,15,1,1
178,30,182,448,15,1,1
179,-45,142,689,15,1,1
180,-45,191,742,15,1,1
181,0,137,475,15,1,1
182,-60,170,741,15,1,1
183,-45,177,695,15,1,1
184,15,262,321,15,1,1
185,60,311,415,15,1,1
186,60,212,611,15,1,1
187,0,222,491,15,1,1
188,-30,195,301,15,1,1
189,15,0,640,15,1,1
190,-60,133,586,15,1,1
191,15,146,719,15,1,1
192,60,439,345,15,1,1
193,-15,247,335,15,1,1
194,60,151,532,15,1,1
195,-15,111,670,15,1,1
196,-15,25,693,15,1,1
197,60,205,368,15,1,1
198,15,166,471,15,1,1
199,-60,122,782,15,1,1
200,-15,152,529,15,1,1
201,-60,182,565,15,1,1
