Trial,Eccentricity,RT,IT,Brightness,Stim ID
1,-45,316,539,15,1
2,15,233,582,15,0
3,0,479,389,15,1
4,15,532,349,15,0
5,-15,301,773,15,1
6,15,294,678,15,1
7,-45,322,312,15,0
8,-30,326,587,15,1
9,-15,384,527,15,1
10,30,309,444,15,1
11,15,337,448,15,0
12,-15,0,460,15,0
13,-30,284,397,15,0
14,45,229,678,15,0
15,0,300,477,15,0
16,0,199,696,15,0
17,-15,327,444,15,1
18,-15,384,521,15,1
19,30,331,791,15,1
20,-15,280,506,15,1
21,45,309,367,15,1
22,45,295,708,15,1
23,-30,266,429,15,1
24,-30,257,572,15,1
25,-45,371,407,15,0
26,0,267,453,15,0
27,45,353,336,15,1
28,-15,368,329,15,0
29,30,304,640,15,0
30,45,308,477,15,0
31,0,338,387,15,1
32,15,304,443,15,0
33,-45,0,447,15,1
34,0,330,656,15,1
35,-45,453,791,15,0
36,-15,320,661,15,1
37,0,362,591,15,1
38,30,283,433,15,0
39,45,266,650,15,0
40,-15,265,463,15,1
41,30,367,322,15,1
42,-15,288,384,15,1
43,-45,284,510,15,0
44,15,314,481,15,0
45,-15,311,482,15,0
46,-45,355,355,15,1
47,-15,397,780,15,0
48,-45,0,667,15,0
49,45,415,642,15,1
50,30,208,619,15,0
51,-15,256,666,15,0
52,0,241,538,15,0
53,-30,333,344,15,1
54,45,317,408,15,1
55,45,340,339,15,0
56,-45,465,405,15,1
57,45,348,303,15,1
58,15,359,387,15,1
59,-45,374,666,15,1
60,-30,382,393,15,0
61,45,323,688,15,0
62,45,477,406,15,0
63,30,326,660,15,1
64,15,597,512,15,0
65,0,365,673,15,1
66,15,0,540,15,1
67,0,0,528,15,1
68,30,374,707,15,1
69,-15,248,644,15,1
70,30,310,370,15,1
71,0,0,382,15,0
72,-15,272,545,15,0
73,0,262,669,15,0
74,-45,280,396,15,1
75,-45,329,337,15,1
76,-45,307,755,15,0
77,30,413,387,15,0
78,15,283,675,15,0
79,-45,304,592,15,0
80,45,679,759,15,1
81,45,430,356,15,1
82,-30,558,374,15,1
83,30,298,380,15,0
84,45,0,483,15,0
85,15,0,639,15,1
86,-30,492,794,15,1
87,30,316,668,15,0
88,30,475,611,15,0
89,0,473,697,15,0
90,0,278,560,15,1
91,-45,319,683,15,0
92,-30,630,465,15,0
93,-45,372,672,15,1
94,-45,435,768,15,0
95,15,334,574,15,0
96,45,286,514,15,1
97,15,356,584,15,1
98,0,251,760,15,1
99,0,336,383,15,1
100,0,226,561,15,1
101,-30,360,767,15,0
102,45,386,796,15,1
103,45,0,795,15,1
104,45,334,378,15,1
105,-15,282,713,15,0
106,-15,296,627,15,1
107,45,441,552,15,1
108,-30,307,426,15,0
109,0,350,743,15,0
110,-30,291,582,15,0
111,15,277,594,15,1
112,-15,341,712,15,0
113,0,351,623,15,0
114,0,379,354,15,0
115,30,517,464,15,0
116,15,418,694,15,0
117,-15,297,708,15,1
118,-15,422,675,15,0
119,15,344,721,15,1
120,-15,359,382,15,0
121,-15,304,687,15,0
122,0,459,637,15,1
123,45,369,719,15,0
124,-45,359,785,15,0
125,30,317,520,15,0
126,-15,351,741,15,0
127,45,329,755,15,0
128,-15,356,617,15,0
129,45,566,542,15,0
130,-30,320,421,15,0
131,30,371,376,15,1
132,30,332,358,15,1
133,-30,322,685,15,0
134,0,461,791,15,0
135,-30,326,717,15,1
136,-45,327,748,15,0
137,30,420,454,15,1
138,-30,428,634,15,0
139,-45,442,341,15,0
140,45,386,597,15,1
141,30,380,495,15,0
142,0,323,655,15,0
143,15,391,517,15,0
144,15,305,532,15,1
145,30,293,498,15,0
146,45,511,598,15,0
147,-30,302,566,15,1
148,15,263,625,15,1
149,45,256,405,15,0
150,-30,0,525,15,0
151,-30,204,767,15,0
152,0,271,588,15,0
153,-15,307,771,15,1
154,-45,306,631,15,1
155,-15,356,346,15,0
156,30,540,689,15,1
157,15,485,557,15,1
158,-45,330,427,15,0
159,45,300,480,15,0
160,-15,247,348,15,0
161,0,0,641,15,0
162,-15,0,623,15,1
163,-30,484,638,15,1
164,30,408,537,15,0
165,15,487,549,15,1
166,-45,338,748,15,0
167,15,0,782,15,1
168,45,347,452,15,1
169,-45,387,594,15,1
170,-30,419,445,15,1
171,45,390,457,15,1
172,45,393,352,15,1
173,-30,365,457,15,0
174,-30,322,639,15,0
175,-45,577,657,15,0
176,-45,445,359,15,1
177,15,380,673,15,0
178,0,377,540,15,0
179,45,0,376,15,0
180,-45,423,470,15,1
181,0,233,572,15,0
182,-30,278,727,15,0
183,-30,290,329,15,1
184,0,393,673,15,0
185,30,314,790,15,0
186,-15,318,390,15,1
187,15,242,371,15,1
188,30,283,340,15,1
189,0,300,353,15,0
190,-15,263,719,15,0
191,45,314,309,15,0
192,45,302,718,15,0
193,-15,309,329,15,1
194,0,251,411,15,0
195,45,363,775,15,1
196,45,361,555,15,0
197,-15,524,520,15,1
198,15,1111,518,15,0
199,45,435,538,15,1
200,30,412,691,15,1
201,30,434,320,15,0
202,0,406,600,15,1
203,-45,381,433,15,0
204,-45,390,402,15,1
205,15,362,558,15,0
206,30,464,735,15,1
207,30,453,403,15,0
208,0,437,721,15,0
209,-45,358,460,15,0
210,-45,412,618,15,1
211,-15,422,335,15,1
212,30,293,524,15,1
213,-15,247,423,15,0
214,0,204,667,15,0
215,15,513,691,15,1
216,15,594,317,15,0
217,-15,343,488,15,0
218,-45,298,679,15,0
219,-45,282,621,15,0
220,15,336,782,15,1
221,30,349,313,15,1
222,45,387,796,15,1
223,0,324,565,15,1
224,-30,357,314,15,1
225,-30,252,662,15,1
226,-45,370,573,15,0
227,0,370,460,15,1
228,-45,325,333,15,0
229,-45,282,552,15,1
230,15,407,570,15,1
231,45,394,343,15,0
232,-15,415,672,15,1
