Trial,Ecc,RT,IT,Brightness,StimID
1,-30,2935,355,15,0
2,-30,245,421,15,0
3,45,267,361,15,0
4,-45,220,458,15,0
5,-30,225,339,15,0
6,0,171,524,15,0
7,-45,208,467,15,0
8,15,201,735,15,0
9,-45,274,424,15,0
10,0,137,784,15,0
11,30,259,401,15,0
12,45,285,756,15,0
13,30,252,325,15,0
14,-45,272,414,15,0
15,45,170,584,15,0
16,30,324,403,15,0
17,15,180,557,15,0
18,30,0,567,15,0
19,45,238,363,15,0
20,15,187,771,15,0
21,30,258,320,15,0
22,30,0,508,15,0
23,-15,158,646,15,0
24,-45,0,523,15,0
25,-15,190,728,15,0
26,-45,192,567,15,0
27,15,211,706,15,0
28,-15,207,495,15,0
29,30,210,553,15,0
30,0,0,452,15,0
31,-15,169,425,15,0
32,-45,0,741,15,0
33,45,175,590,15,0
34,30,195,663,15,0
35,-30,178,427,15,0
36,45,179,394,15,0
37,-45,331,445,15,0
38,15,205,484,15,0
39,-45,140,559,15,0
40,-30,201,616,15,0
41,-15,230,349,15,0
42,-45,187,523,15,0
43,30,365,771,15,0
44,15,338,525,15,0
45,30,176,792,15,0
46,-30,200,738,15,0
47,-15,205,757,15,0
48,-15,210,459,15,0
49,45,0,514,15,0
50,15,186,353,15,0
51,-45,0,737,15,0
52,45,290,651,15,0
53,-45,187,523,15,0
54,-45,165,719,15,0
55,30,189,671,15,0
56,-45,155,747,15,0
57,45,198,675,15,0
58,45,183,629,15,0
59,0,393,685,15,0
60,-45,207,632,15,0
61,-15,353,656,15,0
62,-15,314,555,15,0
63,-30,189,384,15,0
64,15,182,442,15,0
65,-45,180,382,15,0
66,30,129,514,15,0
67,-15,177,615,15,0
68,30,292,343,15,0
69,-30,168,310,15,0
70,15,207,356,15,0
71,45,0,775,15,0
72,30,179,348,15,0
73,45,0,796,15,0
74,-30,153,543,15,0
75,-15,173,632,15,0
76,0,189,369,15,0
77,-15,361,656,15,0
78,45,213,572,15,0
79,-15,219,767,15,0
80,30,187,461,15,0
81,30,365,313,15,0
82,-15,188,772,15,0
83,-30,282,532,15,0
84,-30,201,687,15,0
85,0,324,766,15,0
86,15,191,341,15,0
87,30,200,737,15,0
88,0,193,781,15,0
89,-45,206,519,15,0
90,-30,209,381,15,0
91,30,304,496,15,0
92,30,328,334,15,0
93,-45,180,719,15,0
94,15,143,556,15,0
95,0,0,720,15,0
96,45,203,412,15,0
97,45,277,577,15,0
98,-45,223,506,15,0
99,45,336,460,15,0
100,45,240,373,15,0
101,-15,292,307,15,0
102,-15,253,433,15,0
103,0,218,796,15,0
104,0,251,396,15,0
105,15,275,411,15,0
106,30,179,758,15,0
107,-30,230,751,15,0
108,30,190,464,15,0
109,30,368,397,15,0
110,-45,181,747,15,0
111,-15,224,467,15,0
112,0,418,799,15,0
113,0,200,663,15,0
114,0,182,431,15,0
115,-15,245,386,15,0
116,30,192,602,15,0
117,-45,206,376,15,0
118,-15,196,483,15,0
119,30,197,590,15,0
120,0,191,450,15,0
121,-15,214,401,15,0
122,45,175,597,15,0
123,0,195,696,15,0
124,15,248,619,15,0
125,-45,176,514,15,0
126,45,265,409,15,0
127,15,205,396,15,0
128,-30,187,704,15,0
129,45,213,436,15,0
130,30,356,632,15,0
131,-15,331,450,15,0
132,0,131,746,15,0
133,-15,264,472,15,0
134,45,227,344,15,0
135,45,187,405,15,0
136,30,156,641,15,0
137,15,183,650,15,0
138,30,144,776,15,0
139,-15,243,330,15,0
140,15,185,439,15,0
141,30,237,714,15,0
142,0,193,432,15,0
143,-30,161,782,15,0
144,0,340,525,15,0
145,30,236,685,15,0
146,15,229,310,15,0
147,-30,196,461,15,0
148,15,185,552,15,0
149,-15,206,456,15,0
150,30,196,479,15,0
151,30,212,663,15,0
152,45,234,589,15,0
153,0,208,515,15,0
154,-45,119,642,15,0
155,-15,218,367,15,0
156,0,247,547,15,0
157,-15,0,736,15,0
158,0,0,752,15,0
159,15,207,729,15,0
160,-30,249,695,15,0
161,15,337,420,15,0
162,0,186,622,15,0
163,0,165,410,15,0
164,0,332,540,15,0
165,0,0,585,15,0
166,30,207,344,15,0
167,-15,178,435,15,0
168,0,163,795,15,0
169,15,189,534,15,0
170,-45,230,699,15,0
171,30,216,355,15,0
172,0,313,328,15,0
173,0,173,358,15,0
174,-30,151,362,15,0
175,-15,169,323,15,0
176,15,187,443,15,0
177,30,214,391,15,0
178,-15,211,446,15,0
179,-30,0,621,15,0
180,-15,174,525,15,0
181,15,395,729,15,0
182,-30,103,787,15,0
183,45,167,720,15,0
184,-45,241,388,15,0
185,-15,209,666,15,0
186,30,209,486,15,0
187,-30,225,498,15,0
188,-15,192,479,15,0
189,45,205,784,15,0
190,45,174,701,15,0
191,45,340,434,15,0
192,30,186,437,15,0
193,15,191,362,15,0
194,0,199,363,15,0
195,0,0,790,15,0
196,45,198,469,15,0
197,15,0,546,15,0
198,15,179,653,15,0
199,45,165,528,15,0
200,0,258,315,15,0
201,-45,189,603,15,0
202,-30,189,622,15,0
203,30,217,302,15,0
204,-45,173,581,15,0
205,45,226,340,15,0
206,-30,135,719,15,0
207,15,156,622,15,0
208,15,199,633,15,0
209,45,264,378,15,0
210,45,222,450,15,0
211,-45,191,332,15,0
212,30,205,351,15,0
213,45,210,665,15,0
214,45,187,602,15,0
215,30,227,745,15,0
216,-30,194,411,15,0
