Trial,Ecc,RT,IT,Brightness,Stim ID
1, -15, 755, 319, 0
2, -30, 151, 436, 0
3, 0, 135, 476, 0
4, -30, 269, 355, 0
5, -45, 156, 590, 0
6, -15, 155, 307, 0
7, 0, 571, 452, 0
8, 0, 226, 645, 0
9, 45, 0, 646, 0
10, 45, 0, 707, 0
11, -45, 288, 573, 0
12, 30, 174, 438, 0
13, 0, 173, 576, 0
14, -15, 193, 497, 0
15, 0, 445, 641, 0
16, 0, 249, 536, 0
17, 30, 172, 781, 0
18, 0, 241, 588, 0
19, 15, 154, 382, 0
20, 15, 180, 532, 0
21, 15, 156, 398, 0
22, -30, 162, 434, 0
23, 15, 144, 708, 0
24, 30, 159, 715, 0
25, -15, 142, 587, 0
26, 0, 284, 324, 0
27, -15, 165, 483, 0
28, 45, 239, 453, 0
29, 15, 154, 314, 0
30, 0, 241, 597, 0
31, -45, 173, 455, 0
32, 30, 130, 628, 0
33, -15, 171, 300, 0
34, 30, 161, 539, 0
35, 0, 157, 311, 0
36, 15, 39, 490, 0
37, -45, 3, 690, 0
38, -45, 153, 665, 0
39, -45, 197, 447, 0
40, -45, 115, 426, 0
41, -15, 42, 530, 0
42, -45, 465, 711, 0
43, -15, 176, 675, 0
44, 15, 184, 456, 0
45, 45, 130, 715, 0
46, 0, 153, 437, 0
47, 15, 153, 423, 0
48, -30, 0, 722, 0
49, 45, 48, 735, 0
50, -45, 216, 482, 0
51, -30, 45, 789, 0
52, -30, 238, 514, 0
53, -45, 0, 521, 0
54, 45, 299, 511, 0
55, 45, 185, 764, 0
56, 15, 32, 747, 0
57, -15, 163, 508, 0
58, -15, 162, 375, 0
59, -30, 152, 312, 0
60, -15, 173, 650, 0
61, -45, 468, 781, 0
62, 45, 286, 351, 0
63, -30, 196, 398, 0
64, -15, 174, 444, 0
65, -45, 156, 777, 0
66, -45, 241, 371, 0
67, -45, 174, 380, 0
68, 45, 153, 619, 0
69, 45, 184, 539, 0
70, 45, 156, 739, 0
71, -15, 185, 668, 0
72, -30, 155, 589, 0
73, -15, 179, 302, 0
74, 30, 178, 507, 0
75, 45, 169, 545, 0
76, 45, 121, 753, 0
77, 45, 355, 771, 0
78, 45, 149, 567, 0
79, 30, 189, 669, 0
80, 15, 170, 612, 0
81, 30, 165, 450, 0
82, -30, 85, 507, 0
83, 0, 287, 429, 0
84, 15, 179, 521, 0
85, -30, 141, 357, 0
86, 45, 157, 454, 0
87, -15, 161, 585, 0
88, -45, 186, 485, 0
89, 30, 0, 715, 0
90, 45, 45, 669, 0
91, 15, 315, 530, 0
92, -45, 161, 685, 0
93, -45, 194, 462, 0
94, 15, 143, 531, 0
95, -30, 151, 303, 0
96, -15, 187, 536, 0
97, 30, 170, 545, 0
98, 30, 151, 615, 0
99, 45, 154, 452, 0
100, -30, 177, 542, 0
101, 30, 155, 359, 0
102, -15, 181, 489, 0
103, 0, 273, 326, 0
104, -15, 56, 619, 0
105, -15, 165, 452, 0
106, 15, 159, 621, 0
107, 45, 172, 424, 0
108, 0, 177, 630, 0
109, -15, 213, 785, 0
110, 15, 168, 714, 0
111, 30, 151, 752, 0
112, 0, 255, 344, 0
113, 15, 305, 480, 0
114, 0, 157, 392, 0
115, 0, 164, 451, 0
116, 15, 154, 357, 0
117, 30, 139, 776, 0
118, 15, 190, 646, 0
119, 45, 250, 436, 0
115, 0, 265, 524, 0
121, -30, 232, 411, 0
122, -15, 237, 317, 0
123, 15, 184, 527, 0
124, 0, 246, 530, 0
125, 0, 211, 619, 0
126, -15, 0, 748, 0
127, 45, 155, 302, 0
128, -45, 143, 716, 0
129, -15, 155, 703, 0
130, 0, 193, 732, 0
131, 30, 165, 658, 0
132, -30, 229, 315, 0
133, 0, 159, 447, 0
134, 15, 137, 735, 0
135, 15, 0, 778, 0
136, 15, 159, 630, 0
137, -45, 79, 386, 0
138, 30, 179, 652, 0
139, 45, 945, 535, 0
130, -30, 153, 778, 0
141, 15, 218, 532, 0
142, 30, 168, 705, 0
143, 45, 226, 621, 0
144, -45, 431, 484, 0
145, 15, 193, 676, 0
146, -15, 279, 738, 0
147, 30, 176, 484, 0
148, 15, 170, 430, 0
149, 0, 0, 764, 0
150, 30, 229, 355, 0
151, -45, 197, 771, 0
152, 15, 213, 497, 0
153, 30, 330, 719, 0
154, -30, 41, 772, 0
155, -45, 901, 695, 0
156, -15, 0, 336, 0
157, 15, 231, 477, 0
158, -30, 155, 651, 0
159, 15, 711, 438, 0
145, 0, 298, 712, 0
161, 15, 288, 525, 0
162, -30, 535, 490, 0
163, 15, 198, 714, 0
164, -30, 187, 434, 0
165, -45, 216, 683, 0
166, -15, 289, 703, 0
167, -15, 197, 726, 0
168, 45, 191, 533, 0
169, 15, 213, 416, 0
170, 30, 249, 764, 0
171, -30, 348, 303, 0
