Trial,Eccentricity, RT, IT, Brightness,Stim ID
1,-30,243,318,15,0
2,-15,146,793,15,0
3,45,243,422,15,0
4,0,167,745,15,0
5,-45,191,737,15,0
6,-45,216,325,15,0
7,30,181,353,15,0
8,45,323,631,15,0
9,15,140,793,15,0
10,45,162,649,15,0
11,15,193,421,15,0
12,-45,0,624,15,0
13,15,172,393,15,0
14,15,0,523,15,0
15,-45,190,308,15,0
16,-30,0,432,15,0
17,-45,291,793,15,0
18,-45,205,600,15,0
19,-45,229,442,15,0
20,45,186,729,15,0
21,45,218,612,15,0
22,-45,253,479,15,0
23,45,228,376,15,0
24,-30,222,544,15,0
25,0,236,533,15,0
26,-15,185,796,15,0
27,0,342,330,15,0
28,-45,182,683,15,0
29,15,227,441,15,0
30,15,218,375,15,0
31,-45,180,742,15,0
32,15,217,647,15,0
33,30,235,519,15,0
34,-15,0,744,15,0
35,-30,203,662,15,0
36,15,429,302,15,0
37,15,194,465,15,0
38,30,150,756,15,0
39,-15,179,778,15,0
40,-30,213,726,15,0
41,-15,226,719,15,0
42,30,221,780,15,0
43,15,235,594,15,0
44,15,230,738,15,0
45,30,167,731,15,0
46,-45,433,553,15,0
47,-15,266,488,15,0
48,-30,151,750,15,0
49,-30,228,782,15,0
50,15,240,397,15,0
51,-45,250,335,15,0
52,15,0,688,15,0
53,-15,377,466,15,0
54,15,320,664,15,0
55,30,215,614,15,0
56,45,191,587,15,0
57,-45,424,781,15,0
58,30,260,463,15,0
59,0,228,505,15,0
60,15,172,758,15,0
61,30,218,535,15,0
62,30,264,459,15,0
63,30,231,570,15,0
64,45,221,404,15,0
65,15,207,442,15,0
66,-30,188,723,15,0
67,30,188,570,15,0
68,-45,235,326,15,0
69,-30,239,567,15,0
70,-15,246,721,15,0
71,45,237,791,15,0
72,-30,350,625,15,0
73,-30,218,579,15,0
74,15,144,727,15,0
75,15,191,737,15,0
76,15,316,429,15,0
77,-45,0,526,15,0
78,-45,282,353,15,0
79,0,250,359,15,0
80,0,272,393,15,0
81,-30,258,321,15,0
82,30,236,490,15,0
83,0,164,693,15,0
84,30,223,770,15,0
85,-15,230,490,15,0
86,15,233,620,15,0
87,45,201,735,15,0
88,-30,239,526,15,0
89,-45,218,432,15,0
90,-45,241,693,15,0
91,45,181,761,15,0
92,30,306,475,15,0
93,-15,275,356,15,0
94,45,214,349,15,0
95,-15,186,666,15,0
96,-30,257,358,15,0
97,-30,225,724,15,0
98,-15,235,568,15,0
99,45,276,508,15,0
100,30,244,328,15,0
101,-15,282,412,15,0
102,-45,210,684,15,0
103,0,281,451,15,0
104,-30,314,367,15,0
105,-45,302,304,15,0
106,-30,121,433,15,0
107,-30,166,662,15,0
108,30,208,477,15,0
109,-45,162,672,15,0
110,-45,265,312,15,0
111,45,176,552,15,0
112,15,231,379,15,0
113,45,0,792,15,0
114,30,223,538,15,0
115,0,176,749,15,0
116,0,301,403,15,0
117,45,182,546,15,0
118,15,221,325,15,0
119,-45,234,447,15,0
120,-15,153,776,15,0
121,-45,355,391,15,0
122,15,259,394,15,0
123,0,144,356,15,0
124,30,129,622,15,0
125,-15,229,463,15,0
126,30,226,621,15,0
127,30,246,304,15,0
128,30,0,759,15,0
129,30,170,693,15,0
130,30,3178,583,15,0
131,-15,369,405,15,0
132,30,214,783,15,0
133,-30,259,463,15,0
134,-15,255,382,15,0
135,15,168,462,15,0
136,15,244,542,15,0
137,15,177,485,15,0
138,-30,267,351,15,0
139,-45,100,616,15,0
140,0,198,629,15,0
141,15,209,575,15,0
142,30,177,592,15,0
143,0,325,407,15,0
144,-15,133,591,15,0
145,-45,0,501,15,0
146,45,258,676,15,0
147,30,0,314,15,0
148,-15,212,492,15,0
149,15,199,740,15,0
150,-15,196,647,15,0
151,-15,210,524,15,0
152,-45,258,438,15,0
153,45,185,573,15,0
154,0,0,601,15,0
155,45,214,735,15,0
156,-45,225,540,15,0
157,15,205,451,15,0
158,-15,159,785,15,0
159,45,214,362,15,0
160,15,258,327,15,0
161,15,220,560,15,0
162,-15,439,560,15,0
163,-15,179,510,15,0
164,0,185,432,15,0
165,-30,200,334,15,0
166,-45,184,759,15,0
167,-15,208,550,15,0
168,15,209,412,15,0
169,15,169,449,15,0
170,-45,217,605,15,0
171,15,386,519,15,0
172,-30,207,482,15,0
173,-30,102,549,15,0
174,45,396,623,15,0
175,15,164,653,15,0
176,30,249,349,15,0
177,45,161,761,15,0
178,30,272,469,15,0
179,-45,202,315,15,0
180,-45,177,658,15,0
181,-45,297,479,15,0
182,-30,216,328,15,0
183,-15,202,678,15,0
184,-15,239,543,15,0
185,30,256,376,15,0
186,-30,243,347,15,0
187,30,204,386,15,0
188,0,331,339,15,0
189,0,289,629,15,0
190,-15,198,600,15,0
191,-30,190,627,15,0
192,45,0,325,15,0
193,-15,186,746,15,0
194,0,184,549,15,0
195,-30,263,443,15,0
196,15,195,549,15,0
197,30,160,729,15,0
198,45,314,642,15,0
199,-45,205,533,15,0
200,0,292,446,15,0
