trial, dist, RT, interstim, Colour
305,30,330,305,0
306,30,179,589,0
307,0,319,371,0
308,0,156,394,0
309,-30,189,772,0
310,45,187,459,0
311,0,199,353,0
312,-45,154,438,0
313,-30,233,347,0
314,15,130,628,0
315,-15,143,785,0
316,45,195,581,0
317,45,152,715,0
318,-45,217,722,0
319,-45,299,301,0
315,-30,187,590,0
321,30,245,474,0
322,-30,183,468,0
323,-30,187,430,0
324,30,27,591,0
325,-15,117,778,0
326,30,228,412,0
327,0,188,521,0
328,-15,151,618,0
329,30,156,721,0
330,30,196,775,0
331,15,427,661,0
332,-30,375,317,0
333,15,0,657,0
334,-15,191,633,0
335,15,193,711,0
336,30,341,798,0
337,45,496,457,0
338,0,256,730,0
339,-15,186,710,0
330,0,191,727,0
341,15,198,751,0
342,-15,151,590,0
343,-30,222,356,0
344,-45,214,498,0
345,45,0,712,0
346,0,304,498,0
347,15,159,497,0
348,-30,182,452,0
349,-45,168,669,0
350,-30,126,630,0
351,-45,197,508,0
352,30,53,771,0
353,15,332,371,0
354,-45,176,619,0
355,-30,236,371,0
356,30,147,773,0
357,-45,150,722,0
358,15,246,306,0
359,-45,186,430,0
345,0,171,650,0
361,30,103,796,0
362,45,274,335,0
363,-15,52,749,0
364,45,227,543,0
365,0,300,373,0
366,0,157,312,0
367,-15,237,722,0
368,-15,214,635,0
369,-45,321,302,0
370,-15,176,589,0
371,45,247,704,0
372,45,155,678,0
373,-15,191,613,0
374,-30,456,345,0
375,-45,195,645,0
376,45,177,726,0
377,15,153,575,0
378,45,254,641,0
379,30,392,756,0
380,45,300,522,0
381,15,153,339,0
382,-30,152,793,0
383,0,414,345,0
384,15,154,612,0
385,-15,279,306,0
386,30,155,759,0
387,45,397,579,0
388,15,192,324,0
389,15,210,719,0
390,30,158,462,0
391,0,150,464,0
392,-30,103,752,0
393,-15,221,488,0
394,15,188,663,0
395,-45,199,389,0
396,0,30,737,0
397,-30,217,466,0
398,-45,219,318,0
399,45,196,479,0
300,-30,189,500,0
