2trial, dist, RT, interstim, Brightness, NumberofLED
1,-30,207,704,15,1
2,60,294,624,15,1
3,-60,239,334,15,1
4,60,206,621,15,1
5,45,270,400,15,1
6,-60,264,466,15,1
7,-60,548,320,15,1
8,-30,235,440,15,1
9,-45,189,467,15,1
10,45,222,740,15,1
11,-60,324,521,15,1
12,-60,213,590,15,1
13,45,264,582,15,1
14,15,235,528,15,1
15,15,220,669,15,1
16,45,255,442,15,1
17,-60,259,552,15,1
18,30,251,441,15,1
19,15,201,753,15,1
20,30,222,631,15,1
21,30,233,462,15,1
22,60,237,578,15,1
23,-15,228,569,15,1
24,15,206,678,15,1
25,-30,218,410,15,1
26,60,230,315,15,1
27,15,208,627,15,1
28,-30,217,495,15,1
29,-30,214,701,15,1
30,30,254,714,15,1
31,15,305,366,15,1
32,30,340,530,15,1
33,15,186,734,15,1
34,-30,198,456,15,1
35,60,188,567,15,1
36,0,292,733,15,1
37,-30,235,524,15,1
38,-30,197,441,15,1
39,-45,239,302,15,1
40,-45,226,428,15,1
41,-45,222,346,15,1
42,45,282,411,15,1
43,15,244,662,15,1
44,30,217,461,15,1
45,45,217,714,15,1
46,60,313,411,15,1
47,15,276,793,15,1
48,-45,309,382,15,1
49,15,239,344,15,1
50,-15,293,686,15,1
51,-45,266,391,15,1
52,30,217,550,15,1
53,-45,220,535,15,1
54,-45,235,559,15,1
55,-60,302,635,15,1
56,-15,379,693,15,1
57,30,344,343,15,1
58,-15,225,322,15,1
59,-60,269,317,15,1
60,-45,240,587,15,1
61,45,398,412,15,1
62,45,347,675,15,1
63,-45,450,372,15,1
64,15,249,358,15,1
65,15,203,619,15,1
66,-30,239,302,15,1
67,-45,236,359,15,1
68,60,280,383,15,1
69,60,345,477,15,1
70,60,275,302,15,1
71,60,284,332,15,1
72,-60,380,352,15,1
73,-45,275,757,15,1
74,-15,350,477,15,1
75,30,320,394,15,1
76,45,290,698,15,1
77,-45,228,414,15,1
78,45,226,380,15,1
79,60,290,496,15,1
80,60,243,510,15,1
81,0,230,608,15,1
82,60,279,772,15,1
83,45,336,635,15,1
84,30,435,402,15,1
85,-45,221,521,15,1
86,-30,220,569,15,1
87,30,220,320,15,1
88,-60,252,623,15,1
89,45,270,368,15,1
90,0,246,320,15,1
91,30,217,421,15,1
92,-60,320,463,15,1
93,30,209,354,15,1
94,-60,235,549,15,1
95,-45,237,558,15,1
96,30,379,390,15,1
97,-15,210,615,15,1
98,15,270,310,15,1
99,45,255,614,15,1
100,-30,211,331,15,1
101,-15,225,600,15,1
102,45,198,746,15,1
103,-15,241,711,15,1
104,45,225,571,15,1
105,0,282,337,15,1
106,45,250,695,15,1
107,60,292,553,15,1
108,-30,244,650,15,1
109,45,452,379,15,1
110,60,229,565,15,1
111,-60,264,374,15,1
112,-45,231,418,15,1
113,15,250,431,15,1
114,30,245,791,15,1
115,-30,251,486,15,1
116,15,205,721,15,1
117,60,275,623,15,1
118,15,217,744,15,1
119,-15,373,533,15,1
120,30,262,606,15,1
121,60,253,559,15,1
122,15,238,755,15,1
123,0,265,509,15,1
124,30,288,310,15,1
125,-15,278,761,15,1
126,60,317,497,15,1
127,-15,221,450,15,1
128,-45,219,700,15,1
129,0,247,440,15,1
130,45,252,677,15,1
131,45,260,633,15,1
132,45,260,578,15,1
133,-15,244,403,15,1
134,-30,253,381,15,1
135,0,280,611,15,1
136,30,232,784,15,1
137,15,245,699,15,1
138,-45,238,556,15,1
139,-60,302,624,15,1
140,30,430,387,15,1
141,15,212,587,15,1
142,-15,225,697,15,1
143,-60,429,358,15,1
144,30,204,732,15,1
145,30,246,591,15,1
146,-15,322,628,15,1
147,-30,221,674,15,1
148,-30,330,720,15,1
149,-60,252,724,15,1
150,0,304,404,15,1
151,-45,221,438,15,1
152,-15,230,546,15,1
153,30,240,447,15,1
154,-60,281,544,15,1
155,-15,398,415,15,1
156,-45,227,433,15,1
157,30,223,623,15,1
158,30,266,398,15,1
159,-30,222,526,15,1
160,60,351,728,15,1
161,45,255,582,15,1
162,60,291,349,15,1
163,0,253,472,15,1
164,15,309,359,15,1
165,-60,249,541,15,1
166,30,306,525,15,1
167,0,343,301,15,1
168,0,209,327,15,1
169,30,243,640,15,1
170,60,269,515,15,1
171,-30,257,350,15,1
172,-30,252,429,15,1
173,-60,272,508,15,1
174,0,333,469,15,1
175,-30,224,416,15,1
176,15,233,613,15,1
177,60,247,714,15,1
178,-30,206,468,15,1
179,-30,228,547,15,1
180,30,235,726,15,1
181,15,242,564,15,1
182,30,329,637,15,1
183,-15,378,400,15,1
184,0,351,569,15,1
185,45,213,571,15,1
186,0,246,662,15,1
187,45,238,765,15,1
188,-60,290,470,15,1
189,0,230,593,15,1
190,15,208,744,15,1
191,15,233,491,15,1
192,60,264,636,15,1
193,-30,257,325,15,1
194,60,211,541,15,1
195,15,238,720,15,1
196,0,505,319,15,1
197,-15,200,748,15,1
198,45,266,792,15,1
199,-30,215,497,15,1
200,15,208,599,15,1
