trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,60,0,329,15,0,1
2,45,410,753,15,1,1
3,-15,191,716,15,1,1
4,-30,207,695,15,1,1
5,-30,274,688,15,1,1
6,-45,510,440,15,1,1
7,-60,252,729,15,1,1
8,-15,263,457,15,1,1
9,-45,360,549,15,1,1
10,0,317,544,15,1,1
11,45,251,654,15,1,1
12,-45,434,597,15,1,1
13,0,410,320,15,1,1
14,-45,330,665,15,1,1
15,-60,303,421,15,1,1
16,45,332,640,15,1,1
17,0,927,300,15,1,1
18,45,289,636,15,1,1
19,0,280,368,15,1,1
20,30,245,595,15,1,1
21,0,272,323,15,1,1
22,0,290,458,15,1,1
23,15,410,795,15,1,1
24,-60,372,376,15,1,1
25,30,284,533,15,1,1
26,15,251,591,15,1,1
27,0,330,467,15,1,1
28,0,330,597,15,1,1
29,15,281,452,15,1,1
30,15,272,591,15,1,1
31,30,249,776,15,1,1
32,15,382,688,15,1,1
33,60,377,378,15,1,1
34,-60,324,600,15,1,1
35,-60,302,484,15,1,1
36,30,240,420,15,1,1
37,15,159,623,15,1,1
38,0,502,384,15,1,1
39,-15,316,393,15,1,1
40,60,421,522,15,1,1
41,-60,245,463,15,1,1
42,60,213,555,15,1,1
43,30,205,736,15,1,1
44,45,223,444,15,1,1
45,-15,292,610,15,1,1
46,45,333,489,15,1,1
47,15,299,796,15,1,1
48,0,344,500,15,1,1
49,0,343,425,15,1,1
50,45,313,601,15,1,1
51,15,318,417,15,1,1
52,0,301,350,15,1,1
53,45,272,762,15,1,1
54,0,314,656,15,1,1
55,30,323,566,15,1,1
56,-60,342,554,15,1,1
57,-45,285,586,15,1,1
58,0,270,389,15,1,1
59,60,240,640,15,1,1
60,45,360,711,15,1,1
61,-30,296,608,15,1,1
62,-60,399,352,15,1,1
63,-30,285,367,15,1,1
64,30,240,734,15,1,1
65,-30,415,769,15,1,1
66,-30,237,578,15,1,1
67,60,300,569,15,1,1
68,0,287,444,15,1,1
69,60,395,559,15,1,1
70,60,301,585,15,1,1
71,0,285,791,15,1,1
72,-60,262,479,15,1,1
73,30,228,457,15,1,1
74,-45,241,793,15,1,1
75,15,367,545,15,1,1
76,15,445,790,15,1,1
77,15,301,589,15,1,1
78,60,306,344,15,1,1
