1,10,714.284400018454
2,30,1770.48640002549
3,-30,1029.74210007168
4,-40,1493.1483000103
5,-0,702.925299904831
6,-10,604.800200001858
7,20,1082.76699998468
8,30,1622.85590000037
9,0,622.198199998178
10,10,794.391299975626
11,-0,600.861400045045
12,-10,770.667900010534
13,-20,659.694999950528
14,-20,1556.57299995009
15,10,759.119500085302
16,-20,553.837099955939
17,-20,774.057799978703
18,-10,738.18909996707
19,40,810.348300058916
20,-40,843.258300009705
21,-40,700.860900017954
22,30,690.439099940062
23,10,828.626400004663
24,20,1037.896299996
25,-0,615.559899975136
26,-10,679.582400043085
27,-10,661.684699967094
28,-30,1043.11280001938
29,-20,1294.73909994639
30,-30,1215.67400000576
31,-30,610.566600021496
32,40,1173.83819995966
33,0,625.797400046661
34,10,681.270799977295
35,0,696.231399924085
36,0,738.878300092705
37,0,596.978700049743
38,-0,568.222999950461
39,0,562.54000010021
40,-10,1031.99070008058
41,40,1021.15329998132
42,40,796.71220006939
43,40,834.627700066715
44,-10,703.345999965034
45,20,745.903699920103
46,-40,799.499399988502
47,-20,585.926400060356
48,0,479.39539994631
49,-20,728.453399991207
50,30,947.6139999745
51,-0,883.783299970031
52,30,864.603400026038
53,40,695.976699963734
54,-0,579.604500001818
55,0,541.528099943474
56,-40,827.236500015073
57,40,750.022499966957
58,-30,678.845699905008
59,20,617.883100086413
60,-40,650.922899977826
61,30,675.705799977817
62,-0,644.251700053513
63,20,969.95919992268
64,-0,591.417599963546
65,-40,741.459900076091
66,-40,870.106300018318
67,20,1150.74580002628
68,30,1100.82750001974
69,20,698.62529999163
70,30,690.244999975488
71,-40,888.479299988188
72,20,851.39589992404
73,10,645.171499955989
74,0,598.461800050512
75,-40,903.64910001453
76,10,556.3430000614
77,20,692.221200005673
78,-20,678.58390000701
79,-0,577.770900009722
80,-30,809.894599980265
81,-30,630.611900035813
82,-10,610.677200048752
83,10,584.830599981882
84,-30,581.542599974722
85,-20,698.624600102715
86,10,702.4830000294
87,20,700.687700096108
88,-20,805.329200025238
89,-30,674.141600058004
90,30,795.904300087653
91,40,678.223899943344
92,0,391.106299968027
93,10,601.766199949719
94,30,652.088800007999
95,-0,572.436000016108
96,-30,759.159099921174
97,-10,755.040299990736
98,40,685.003399993815
99,-10,692.543800017387
100,40,852.076299982667
