3trial, dist, RT, interstim, Brightness, NumberofLED
1,15,482,678,15,2
2,-60,525,456,15,3
3,-15,391,689,15,1
4,30,425,358,15,2
5,60,546,749,15,1
6,-15,397,382,15,2
7,-45,383,582,15,1
8,-15,392,309,15,1
9,-45,470,592,15,2
10,30,377,500,15,2
11,0,373,627,15,1
12,0,350,431,15,2
13,-15,401,577,15,2
14,-60,478,779,15,1
15,-60,636,506,15,2
16,-45,533,326,15,3
17,45,410,795,15,1
18,-30,395,510,15,1
19,60,640,611,15,3
20,15,351,455,15,2
21,30,0,318,15,1
22,60,460,528,15,3
23,0,424,718,15,3
24,15,368,531,15,2
25,-45,447,715,15,1
26,45,471,486,15,3
27,-45,549,535,15,1
28,-30,495,744,15,2
29,15,423,600,15,3
30,30,441,353,15,3
31,-45,539,717,15,3
32,60,521,477,15,3
33,-30,462,375,15,1
34,-15,407,540,15,2
35,-15,414,624,15,3
36,-60,544,759,15,1
37,-30,454,702,15,2
38,-15,0,341,15,2
39,45,492,489,15,2
40,15,373,334,15,1
41,30,504,313,15,3
42,45,467,796,15,3
43,-45,381,627,15,1
44,0,366,380,15,3
45,-45,401,532,15,1
46,60,563,662,15,2
47,-15,446,332,15,3
48,-30,467,423,15,3
49,-15,324,402,15,2
50,60,411,434,15,3
51,-60,614,718,15,1
52,-15,451,396,15,3
53,0,336,627,15,2
54,15,339,496,15,3
55,-15,469,530,15,1
56,-30,451,353,15,2
57,0,352,754,15,1
58,15,393,582,15,3
59,45,409,772,15,3
60,30,393,519,15,2
61,30,380,364,15,2
62,-45,0,472,15,3
63,-60,459,708,15,3
64,15,366,650,15,2
65,-45,548,506,15,3
66,-30,398,513,15,1
67,45,434,313,15,1
68,45,0,484,15,2
69,0,314,726,15,2
70,-45,422,531,15,1
71,30,405,495,15,2
72,45,462,483,15,1
73,15,357,771,15,2
74,-45,491,374,15,2
75,45,414,660,15,2
76,-45,429,619,15,1
77,60,534,494,15,2
78,60,484,652,15,2
79,45,647,582,15,1
80,15,699,416,15,1
81,-15,373,720,15,2
82,30,366,722,15,2
83,-45,361,613,15,3
84,30,459,561,15,3
85,15,378,535,15,1
86,30,406,463,15,1
87,-15,395,703,15,3
88,-30,420,378,15,3
89,-45,592,704,15,1
90,30,392,728,15,2
91,15,369,714,15,1
92,-15,341,590,15,2
93,-30,378,748,15,1
94,-15,368,584,15,1
95,-45,385,527,15,1
96,-60,400,590,15,1
97,30,525,428,15,3
98,15,386,429,15,3
99,60,370,656,15,3
100,30,0,652,15,1
101,60,0,410,15,2
102,60,475,775,15,3
103,-60,461,639,15,3
104,-30,0,701,15,3
105,30,405,781,15,1
106,-45,460,671,15,1
107,30,383,572,15,1
108,30,411,354,15,1
109,60,0,713,15,2
110,60,482,489,15,3
111,30,453,507,15,3
112,-60,0,622,15,2
113,30,497,594,15,3
114,-45,449,333,15,1
115,30,412,619,15,2
116,0,345,436,15,2
117,45,457,375,15,3
118,-15,321,456,15,2
119,15,455,307,15,3
120,45,443,458,15,2
121,-60,670,630,15,1
122,30,442,445,15,2
123,-15,345,651,15,3
124,-60,0,561,15,2
125,-15,0,502,15,3
126,-15,372,646,15,3
127,45,377,588,15,1
128,30,591,757,15,2
129,15,347,781,15,2
130,-60,456,670,15,3
131,-15,361,597,15,3
132,-60,466,410,15,1
133,0,344,510,15,1
134,-60,385,637,15,3
135,45,422,393,15,3
136,-15,360,697,15,2
137,-30,402,743,15,2
138,-45,521,725,15,2
139,-45,416,784,15,2
140,-45,400,650,15,2
141,15,416,342,15,1
142,-30,434,642,15,1
143,30,527,329,15,3
144,-60,426,648,15,1
145,15,370,548,15,2
146,-45,0,696,15,3
147,-30,596,443,15,3
148,15,401,537,15,3
149,-30,423,580,15,1
150,-45,526,335,15,3
151,-15,424,635,15,2
152,-60,569,371,15,1
153,-30,390,666,15,3
154,15,342,384,15,2
155,60,372,623,15,3
156,30,386,323,15,2
157,-60,400,612,15,3
158,30,366,562,15,2
159,-60,507,326,15,2
160,30,370,778,15,1
161,45,396,574,15,1
162,60,0,774,15,2
163,-60,367,336,15,1
164,15,380,437,15,1
165,-15,349,345,15,1
166,-45,360,566,15,1
167,45,374,707,15,1
168,60,442,768,15,1
169,-60,0,300,15,2
170,-60,442,646,15,2
171,-30,0,300,15,3
172,-45,453,393,15,1
173,0,337,433,15,2
174,-15,370,730,15,2
175,-15,797,518,15,3
176,0,434,489,15,1
177,-15,0,644,15,2
178,60,528,577,15,2
179,45,426,488,15,1
180,45,0,632,15,1
181,45,551,329,15,3
182,15,376,477,15,3
183,15,341,663,15,1
184,-45,470,568,15,2
185,30,416,532,15,3
186,15,361,556,15,1
187,-30,421,382,15,3
188,60,408,355,15,1
189,60,429,563,15,1
190,60,0,717,15,2
191,60,0,502,15,2
192,-45,440,641,15,2
193,45,510,301,15,3
194,0,388,469,15,2
195,-60,484,419,15,1
196,-60,554,690,15,1
197,15,422,537,15,1
198,0,352,671,15,1
199,60,0,732,15,1
200,-45,378,535,15,1
201,30,397,798,15,1
202,60,393,510,15,1
203,15,363,379,15,1
204,-30,313,626,15,1
205,15,374,572,15,1
206,-45,486,681,15,3
207,-30,363,363,15,3
208,15,481,413,15,2
209,15,364,599,15,3
210,60,733,502,15,2
211,-30,558,413,15,1
212,15,333,335,15,1
213,-30,417,684,15,3
214,0,409,555,15,3
215,-30,393,462,15,3
216,60,449,302,15,1
217,30,366,532,15,3
218,60,373,320,15,3
219,-60,0,593,15,2
220,45,474,446,15,1
221,60,468,564,15,3
