Trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,15,693,523,15,1,1
2,0,423,558,15,1,3
3,-45,637,605,15,1,2
4,45,786,511,15,1,3
5,60,540,708,15,1,1
6,-15,516,676,15,1,3
7,-60,501,390,15,1,1
8,-45,681,535,15,1,2
9,45,560,772,15,1,2
10,15,382,506,15,1,1
11,45,676,672,15,1,3
12,-15,541,552,15,1,3
13,60,502,477,15,1,3
14,-30,793,634,15,1,2
15,60,405,301,15,1,1
16,-60,637,518,15,-1,2
17,0,362,400,15,1,1
18,-30,563,731,15,1,1
19,-30,493,711,15,-1,2
20,-30,412,371,15,-1,3
21,30,506,591,15,1,2
22,-30,348,712,15,1,1
23,-45,569,481,15,1,1
24,0,792,350,15,1,2
25,0,411,555,15,1,1
26,0,531,348,15,1,2
27,15,533,785,15,1,2
28,15,426,674,15,1,2
29,0,400,463,15,1,2
30,-60,567,333,15,1,3
31,-45,410,783,15,1,1
32,45,567,442,15,1,2
33,30,332,731,15,1,1
34,-45,317,776,15,1,1
35,60,428,318,15,1,1
36,0,417,507,15,1,1
37,-15,653,628,15,1,3
38,45,674,307,15,1,2
39,15,362,355,15,1,1
40,-60,752,644,15,1,2
41,-15,402,618,15,1,1
42,-60,547,619,15,1,3
43,-45,473,620,15,-1,1
44,-15,551,441,15,1,3
45,-15,376,677,15,1,2
46,-60,0,605,15,0,2
47,-45,377,376,15,1,1
48,45,435,387,15,1,1
49,-45,622,576,15,1,2
50,60,435,570,15,-1,2
51,-15,438,510,15,1,1
52,-45,589,612,15,1,2
53,30,476,529,15,-1,3
54,-45,389,610,15,1,1
55,0,419,793,15,1,2
56,-60,450,746,15,1,1
57,30,514,443,15,1,2
58,60,555,681,15,1,3
59,-45,564,776,15,1,2
60,30,597,518,15,-1,2
61,30,577,718,15,1,1
62,-15,501,528,15,1,2
63,-15,458,332,15,1,2
64,0,369,724,15,1,1
65,-45,483,784,15,1,2
66,-15,566,575,15,1,1
67,60,609,509,15,1,3
68,-30,547,361,15,1,1
69,45,590,626,15,1,3
70,-15,664,581,15,1,3
71,-15,432,715,15,1,2
72,-60,428,620,15,-1,2
73,-45,362,355,15,1,1
74,-60,533,690,15,1,2
75,-60,619,304,15,1,2
76,-45,427,444,15,-1,2
77,0,324,605,15,1,1
78,-45,319,361,15,1,1
79,-60,556,385,15,1,3
80,-60,517,319,15,1,2
81,-60,459,482,15,1,1
82,-15,371,783,15,1,1
83,15,418,328,15,1,2
84,30,396,793,15,-1,3
85,-30,478,531,15,1,2
86,-45,631,521,15,1,2
87,-15,512,586,15,1,3
88,-30,597,642,15,1,2
89,-15,360,441,15,1,1
90,-45,630,473,15,1,3
91,-60,513,488,15,1,2
92,-15,519,465,15,1,3
93,15,337,644,15,1,1
94,15,401,743,15,1,3
95,-45,776,321,15,1,2
96,-45,552,717,15,1,3
97,-30,480,611,15,1,2
98,30,428,466,15,1,3
99,45,537,634,15,1,3
100,-15,340,457,15,1,3
101,-15,489,570,15,1,1
102,60,420,673,15,1,3
103,45,413,675,15,1,1
104,-30,485,471,15,1,2
105,45,391,753,15,1,1
106,-60,354,333,15,1,1
107,0,390,462,15,1,3
108,15,0,773,15,0,2
109,-30,383,647,15,1,3
110,0,478,390,15,1,2
111,15,425,643,15,1,2
112,45,508,693,15,1,3
113,0,391,446,15,1,1
114,30,471,752,15,1,2
115,-60,398,539,15,1,1
116,60,388,451,15,1,1
117,-30,382,391,15,1,1
118,-60,650,669,15,1,2
119,-60,583,711,15,1,3
120,30,360,312,15,1,1
121,-30,330,374,15,1,1
122,-15,392,432,15,1,3
123,0,431,364,15,1,2
124,45,634,646,15,1,2
125,0,405,780,15,1,2
126,-15,393,463,15,-1,3
127,15,341,740,15,1,3
128,45,358,520,15,1,1
129,15,471,647,15,1,3
130,-15,418,586,15,1,2
131,-15,410,615,15,1,3
132,-15,536,517,15,1,3
133,-60,402,427,15,-1,2
134,45,373,572,15,1,1
135,-30,424,331,15,-1,2
136,-60,534,424,15,1,3
137,15,325,754,15,1,1
138,30,384,656,15,1,1
139,15,477,633,15,1,2
140,30,482,507,15,1,3
141,15,391,758,15,1,1
142,-15,444,569,15,1,2
143,-60,947,568,15,-1,3
144,15,531,765,15,1,2
145,30,527,693,15,1,2
