Trial, dist, RT, interstim, Brightness, Response, NumberofLED
1,-45,610,794,15,1,1
2,45,0,404,15,0,2
3,-30,762,496,15,1,3
4,0,364,385,15,1,1
5,45,377,316,15,1,1
6,15,455,719,15,1,2
7,15,531,323,15,1,3
8,30,361,700,15,1,1
9,-60,397,337,15,1,3
10,-30,563,595,15,1,2
11,-45,586,757,15,1,2
12,-45,407,762,15,1,3
13,-15,550,366,15,1,2
14,30,593,354,15,1,1
15,0,346,397,15,1,1
16,-60,671,562,15,1,2
17,0,400,477,15,1,3
18,-60,634,665,15,1,3
19,45,884,322,15,1,3
20,15,436,350,15,1,2
21,60,933,301,15,1,2
22,15,410,485,15,1,1
23,15,398,557,15,1,1
24,-60,634,711,15,1,2
25,-15,500,652,15,1,3
26,-15,557,462,15,1,2
27,45,497,430,15,1,3
28,0,413,774,15,1,3
29,-45,609,602,15,1,2
30,-45,594,512,15,1,1
31,0,375,483,15,1,1
32,15,520,719,15,1,3
33,-45,688,592,15,-1,2
34,30,492,674,15,1,3
35,-15,377,776,15,1,3
36,15,468,571,15,1,2
37,-45,673,594,15,1,2
38,-60,490,317,15,1,3
39,-45,405,659,15,-1,1
40,60,613,674,15,-1,2
41,30,584,663,15,-1,3
42,-60,641,309,15,1,2
43,60,406,406,15,1,3
44,-15,389,428,15,1,3
45,-45,524,347,15,-1,2
46,-45,463,678,15,-1,2
47,60,490,382,15,1,1
48,60,973,580,15,1,2
49,15,414,580,15,1,1
50,0,431,647,15,1,2
51,15,409,498,15,1,3
52,60,0,402,15,0,2
53,-15,498,317,15,1,2
54,30,396,614,15,1,1
55,-15,441,795,15,1,1
56,60,541,672,15,1,1
57,0,416,344,15,1,2
58,15,339,654,15,-1,3
59,-30,451,420,15,1,2
60,-15,437,416,15,1,2
61,60,487,477,15,1,1
62,-15,660,392,15,1,3
63,15,416,328,15,1,3
64,-45,670,722,15,1,2
65,-60,569,535,15,1,1
66,60,569,702,15,1,1
67,30,794,468,15,1,3
68,15,452,410,15,1,2
69,-45,458,687,15,1,1
70,-45,467,361,15,1,1
71,45,365,467,15,1,1
72,-60,799,517,15,1,3
73,-30,919,505,15,1,3
74,-15,422,668,15,1,2
75,15,496,364,15,1,1
76,30,431,389,15,1,2
77,-30,475,456,15,1,2
78,-15,410,632,15,1,2
79,0,454,372,15,1,3
80,-45,0,586,15,0,2
81,-15,473,613,15,1,1
82,-30,414,427,15,1,1
83,-30,617,365,15,-1,2
84,-60,638,632,15,1,1
85,0,422,328,15,1,3
86,-45,521,784,15,1,3
87,-30,832,612,15,1,2
88,0,300,749,15,1,1
89,-45,381,651,15,1,3
90,-60,543,489,15,1,1
91,-60,830,439,15,1,3
92,45,0,328,15,0,3
93,-30,518,461,15,1,1
94,30,471,488,15,1,1
95,30,592,713,15,1,2
96,60,498,442,15,1,3
97,-15,577,441,15,1,3
98,15,467,627,15,1,1
99,-30,472,561,15,1,1
100,15,577,525,15,1,3
101,0,487,440,15,1,1
102,60,391,720,15,1,1
103,60,431,521,15,-1,2
104,-45,906,536,15,-1,2
105,30,586,511,15,1,3
106,30,506,492,15,1,3
107,-15,537,321,15,1,2
108,-60,397,424,15,1,1
