trial, dist, RT, interstim, Colour
228, 45, 205, 687, 0
229, 45, 259, 740, 0
230, 30, 248, 589, 0
231, 45, 240, 706, 0
232, -15, 285, 316, 0
233, 45, 211, 719, 0
234, 0, 274, 387, 0
235, 30, 216, 710, 0
236, -45, 247, 354, 0
237, 15, 229, 537, 0
238, 15, 222, 634, 0
239, -30, 230, 753, 0
240, 45, 223, 551, 0
241, 45, 274, 596, 0
242, -15, 205, 453, 0
243, -15, 280, 548, 0
244, -45, 276, 637, 0
245, 0, 284, 612, 0
246, 45, 432, 600, 0
247, -45, 219, 437, 0
248, 0, 241, 715, 0
249, -15, 241, 633, 0
250, 45, 214, 728, 0
251, 0, 228, 672, 0
252, 30, 232, 745, 0
253, -30, 282, 620, 0
254, -30, 251, 490, 0
255, -15, 246, 533, 0
256, -15, 347, 311, 0
257, 0, 234, 665, 0
258, -45, 236, 451, 0
259, 45, 278, 743, 0
260, 45, 303, 344, 0
261, -45, 227, 349, 0
262, -30, 269, 693, 0
263, 0, 130, 695, 0
264, 30, 204, 727, 0
265, 0, 291, 405, 0
266, -45, 202, 687, 0
267, -45, 241, 367, 0
268, -15, 271, 481, 0
269, 30, 221, 617, 0
270, -30, 238, 708, 0
271, -30, 266, 382, 0
272, 45, 211, 781, 0
273, 0, 202, 579, 0
274, -45, 212, 550, 0
275, 15, 203, 540, 0
276, -30, 217, 316, 0
277, 30, 190, 325, 0
278, -15, 230, 389, 0
279, -15, 354, 485, 0
280, -30, 252, 300, 0
281, -45, 255, 446, 0
282, 0, 278, 549, 0
283, 30, 215, 787, 0
284, 30, 353, 673, 0
285, -45, 321, 458, 0
286, -45, 390, 646, 0
287, -45, 196, 776, 0
288, 30, 214, 391, 0
289, -15, 213, 756, 0
290, -30, 262, 492, 0
291, -30, 326, 775, 0
292, 30, 266, 561, 0
293, 45, 294, 788, 0
294, 30, 210, 729, 0
295, 45, 418, 354, 0
296, 15, 541, 542, 0
297, 30, 399, 501, 0
298, 30, 210, 618, 0
299, -45, 714, 588, 0
300, 30, 727, 531, 0
301, -15, 508, 545, 0
302, -30, 165, 646, 0
303, -15, 199, 733, 0
304, 45, 201, 669, 0
305, 15, 231, 477, 0
306, 45, 222, 610, 0
307, 45, 524, 310, 0
308, 30, 194, 441, 0
309, -15, 214, 720, 0
310, -30, 309, 301, 0
311, 0, 276, 794, 0
312, 0, 269, 411, 0
313, -45, 239, 449, 0
314, -15, 274, 670, 0
315, -30, 302, 393, 0
316, -15, 283, 483, 0
317, 30, 335, 564, 0
318, 30, 211, 578, 0
319, -45, 223, 516, 0
320, 15, 218, 778, 0
321, 15, 314, 345, 0
322, -45, 143, 691, 0
323, 15, 152, 643, 0
324, 30, 170, 508, 0
325, 15, 214, 694, 0
326, 45, 279, 390, 0
327, -45, 233, 790, 0
328, -15, 288, 799, 0
329, -15, 264, 623, 0
330, -15, 359, 619, 0
331, -15, 198, 619, 0
332, -30, 215, 490, 0
333, -30, 212, 431, 0
334, -45, 229, 598, 0
335, -45, 304, 597, 0
336, -15, 253, 778, 0
337, -30, 237, 702, 0
338, 30, 202, 550, 0
339, -30, 183, 666, 0
340, 15, 371, 432, 0
341, 30, 279, 460, 0
342, 30, 214, 375, 0
343, -30, 180, 783, 0
344, -45, 256, 333, 0
345, 30, 207, 719, 0
346, -45, 207, 334, 0
347, -15, 226, 571, 0
348, -15, 230, 366, 0
349, 45, 494, 670, 0
350, 0, 226, 687, 0
351, 45, 230, 394, 0
352, 30, 238, 516, 0
353, -30, 188, 582, 0
354, -45, 244, 402, 0
355, 0, 272, 333, 0
356, 45, 208, 609, 0
357, 0, 206, 662, 0
358, -45, 225, 671, 0
359, -30, 243, 788, 0
360, 30, 232, 517, 0
361, 0, 252, 552, 0
362, 0, 246, 313, 0
363, 15, 211, 734, 0
364, 15, 192, 736, 0
365, 15, 206, 412, 0
366, 45, 285, 571, 0
367, 30, 233, 536, 0
368, 45, 259, 715, 0
369, 45, 233, 396, 0
370, -45, 215, 462, 0
371, -15, 235, 689, 0
372, -30, 248, 452, 0
373, -45, 189, 650, 0
374, -15, 223, 549, 0
375, -30, 230, 465, 0
376, 45, 197, 752, 0
377, -45, 205, 645, 0
378, -45, 358, 723, 0
379, 15, 186, 388, 0
380, -15, 204, 414, 0
381, -45, 209, 739, 0
382, 45, 302, 351, 0
383, -45, 282, 716, 0
384, -30, 281, 390, 0
385, 0, 195, 793, 0
386, -45, 215, 721, 0
387, 30, 216, 702, 0
388, 0, 248, 485, 0
389, -30, 179, 608, 0
390, -15, 317, 384, 0
391, 15, 229, 644, 0
392, -15, 219, 754, 0
393, 15, 202, 435, 0
394, 15, 228, 325, 0
395, -45, 251, 343, 0
396, 45, 241, 308, 0
397, -30, 209, 704, 0
398, 45, 215, 713, 0
399, 45, 223, 736, 0
400, -30, 378, 317, 0
