TrialNumber,Eccentricity,ReactionTime
1,-15,0.4613794
2,-35,0.3842052
3,-10,0.4296621
4,-15,0.5164217
5,-35,0.4818089
6,0,0.4907504
7,-10,0.5018776
8,-10,0.4311267
9,-15,0.5363659
10,-40,0.606886
11,-15,0.5744151
12,-30,0.5538583
13,-5,0.5524108
14,-10,0.7715532
15,-10,0.5215206
16,-10,0.588001
17,-30,0.6082541
18,-40,0.6015109
19,-25,0.60063
20,-40,0.5754334
21,-15,0.3454539
22,-20,0.5301852
23,-5,0.5239557
24,-20,0.6306707
25,-15,0.5410431
26,-20,0.5862969
27,-35,0.661204
28,-15,0.5933075
29,-20,0.5149634
30,0,0.4038015
31,-25,0.4296587
32,-30,0.517257
33,-5,0.4435004
34,-10,0.4651081
35,0,0.4345064
36,-20,0.398218
37,0,0.3391252
38,-35,0.533603
39,-20,0.4387925
40,-25,0.457174
41,-35,0.6611993
42,-25,0.4456011
43,-5,0.4203424
44,0,0.3466797
45,-10,0.3960675
46,-5,0.3506747
47,-15,0.436844
48,-5,0.3314614
49,0,0.2861132
50,-15,0.5396791
51,-5,0.4489296
52,-5,0.3762825
53,-10,0.4751407
54,-25,0.4399686
55,0,0.389702
56,0,0.4458849
57,-25,0.5855841
58,-25,0.5399081
59,-40,0.7170261
60,-25,0.5728771
61,-40,0.5464225
62,-5,0.4951127
63,-40,0.7618057
64,-40,0.6422986
65,0,0.4650029
66,-20,0.5039116
67,-35,0.521984
68,-15,0.5068023
69,0,0.3968041
70,-35,0.4798227
71,-5,0.4375435
72,-25,0.3994742
73,-20,0.5498326
74,-30,0.582155
75,-20,0.6287485
76,-40,0.5873706
77,-35,0.7032098
78,-30,0.5172255
79,-30,0.395963
80,-35,0.5500874
81,-35,0.5257227
82,-10,0.5173818
83,-40,0.5504484
84,-40,0.695974
85,-25,0.5385463
86,-30,0.4754506
87,-30,0.6151345
88,-20,0.4202679
89,-30,0.4623558
90,-30,0.454646
91,15,0.4486784
92,15,0.4195483
93,35,0.4387645
94,0,0.4373472
95,10,0.4992076
96,5,0.5347273
97,30,0.4318339
98,35,0.5289976
99,15,0.4958432
100,10,0.5195509
101,25,0.5070215
102,30,0.5964911
103,35,0.5893726
104,5,0.4341781
105,10,0.4502257
106,0,0.3541298
107,25,0.4600298
108,35,0.4620336
109,40,0.4455997
110,15,0.4453615
111,35,0.41407
112,15,0.4834541
113,0,0.399186
114,35,0.4458295
115,0,0.4172795
116,20,0.5708864
117,30,0.4163941
118,20,0.3874086
119,10,0.390033
120,25,0.4088744
121,40,0.4345064
122,20,0.6194681
123,5,0.4486221
124,40,0.5237498
125,25,0.4464918
126,30,0.4682834
127,30,0.4324464
128,20,0.5743403
129,40,0.413496
130,35,0.5677429
131,40,0.5497669
132,10,0.3707871
133,5,0.4557474
134,30,0.4537962
135,20,0.6197584
136,5,0.5039818
137,15,0.3917466
138,5,0.4591595
139,5,0.453725
140,10,0.5071204
141,0,0.3765731
142,5,0.4293789
143,0,0.4673849
144,10,0.4291877
145,0,0.3909313
146,0,0.4355694
147,5,0.4128946
148,20,0.3794257
149,25,0.4779845
150,10,0.3854786
151,35,0.4255887
152,40,0.4782601
153,0,0.3841171
154,20,0.4364981
155,5,0.3838806
156,40,0.5187054
157,15,0.5343687
158,25,0.6770711
159,30,0.6673671
160,25,0.4577619
161,10,0.387735
162,40,0.5395674
163,0,0.497875
164,25,0.472301
165,20,0.5031922
166,30,0.3398921
167,15,0.4339997
168,35,0.6614771
169,15,0.4443866
170,30,0.6213394
171,20,0.5510648
172,15,0.4250309
173,25,0.4581725
174,10,0.4282087
175,25,0.4968881
176,20,0.4524156
177,35,0.5370333
178,40,0.6554904
179,30,0.5905565
180,40,0.5010692
