TrialNumber,Eccentricity,ReactionTime
1,0,0.1619779
2,30,0.1611231
3,25,0.1960588
4,0,0.1952755
5,0,0.3139778
6,40,0.2114874
7,10,0.1690663
8,10,0.1876732
9,15,0.1825578
10,15,0.1672253
11,10,0.1566356
12,40,0.1785215
13,0,0.1710207
14,25,0.1861269
15,10,0.1137703
16,30,0.1466935
17,40,0.1185393
18,30,-0.0012785
19,35,0.0939996
20,15,0.2088214
21,35,0.2111137
22,35,0.1907038
23,0,0.1818076
24,25,0.1831876
25,0,0.1956283
26,25,0.1534762
27,0,0.1818935
28,40,0.1348025
29,20,0.1806925
30,20,0.1268853
31,15,0.1789706
32,30,0.1736955
33,35,0.1521512
34,35,0.1807345
35,35,0.0903012
36,35,0.0811392
37,5,0.2076239
38,15,0.1701593
39,30,0.1779126
40,10,0.1475321
41,5,0.1733272
42,40,0.1731496
43,25,0.1842728
44,5,0.1376092
45,20,0.219214
46,10,0.1667034
47,5,0.2209923
48,20,0.1408876
49,30,0.1749509
50,30,0.1877627
51,40,0.162989
52,0,0.1354082
53,25,0.1825968
54,5,0.1690022
55,15,0.1059891
56,0,0.167436
57,40,0.1716353
58,5,0.1862532
59,25,0.1499155
60,40,0.1499373
61,10,0.1815793
62,10,0.1299412
63,20,0.129078
64,5,0.1826079
65,40,0.1762696
66,15,0.1818023
67,35,0.174469
68,15,0.158853
69,20,0.1830468
70,35,0.1915056
71,15,0.1534391
72,25,0.1855664
73,10,0.1850953
74,25,0.1510223
75,25,0.1729367
76,10,0.1212633
77,35,0.1706774
78,5,0.1141048
79,15,0.2084188
80,20,0.1733737
81,30,0.1671463
82,30,0.1318756
83,20,0.2016893
84,30,0.1890486
85,40,0.1694269
86,0,0.1569397
87,20,0.1604485
88,5,0.1810389
89,20,0.1163919
90,5,0.1108701
91,-25,0.1483
92,-5,0.1444333
93,-5,0.1108597
94,-30,0.1697305
95,-20,-0.00278919999999999
96,-25,0.1648299
97,-20,0.1586592
98,-30,0.1787998
99,-5,0.1761674
100,-25,0.1685595
101,-25,0.1651007
102,-35,0.082544
103,-30,0.1958931
104,-30,0.1660437
105,-30,0.169783
106,-10,-0.0397612
107,-15,0.1696322
108,-30,0.1665793
109,-10,0.1683426
110,-35,0.1323553
111,0,0.229757
112,-15,0.1149465
113,-10,0.2414848
114,-20,0.0703611
115,-20,0.1665654
116,0,0.1679179
117,-10,0.1062233
118,-15,0.1744952
119,-15,0.1578201
120,-30,0.1743965
121,-5,0.1920975
122,-15,0.1449743
123,-15,0.1487625
124,-15,0.1699436
125,-20,0.1732858
126,-25,-0.0345398
127,0,0.175715
128,-10,0.1686597
129,-10,0.1568828
130,-35,0.1636248
131,0,0.2172908
132,-20,0.1269527
133,-35,0.1903606
134,-40,0.1637431
135,-20,0.1763281
136,0,0.1885283
137,-40,0.1639338
138,-25,0.1312242
139,-10,0.1751307
140,-40,0.1332578
141,-30,0.221733
142,-5,0.1790383
143,-40,0.2028953
144,0,0.1467273
145,-40,0.1765847
146,-40,0.0663237
147,-5,0.1783389
148,-40,0.1765762
149,0,0.1366647
150,-25,0.1282717
151,-40,0.1621503
152,-30,0.1734163
153,-30,0.1400979
154,-5,0.0821568
155,0,0.2048894
156,-20,0.1618583
157,-10,0.0447549
158,-25,0.1939829
159,-35,0.1205702
160,-5,0.0762669
161,-35,0.3809616
162,0,0.192031
163,-35,0.193511
164,-35,0.1338135
165,-25,0.174222
166,-35,0.1602977
167,-15,0.1418653
168,-15,0.1719161
169,-40,0.2682327
170,-15,0.1905662
171,-10,0.1453154
172,-40,0.150451
173,-5,0.2088438
174,-20,0.167693
175,0,0.1708751
176,-20,0.1285196
177,-25,0.1697503
178,-10,0.1916334
179,-5,0.2139394
180,-35,0.1994637
