trial, dist, RT, interstim, Colour
1,45,267,756,0
2,-45,246,583,0
3,-30,285,550,0
4,-15,172,771,0
5,45,218,469,0
6,-15,255,302,0
7,30,239,702,0
8,-60,238,727,0
9,45,244,436,0
10,45,278,502,0
11,45,227,560,0
12,0,258,519,0
13,-60,164,717,0
14,-45,307,330,0
15,15,278,311,0
16,60,210,662,0
17,45,274,345,0
18,15,235,449,0
19,45,270,445,0
20,45,218,491,0
21,0,257,661,0
22,15,237,495,0
23,60,249,670,0
24,60,264,584,0
25,-30,294,566,0
26,-60,286,625,0
27,-60,340,324,0
28,60,291,390,0
29,60,290,483,0
30,0,222,773,0
31,30,290,603,0
32,15,211,678,0
33,30,193,561,0
34,60,138,771,0
35,-60,301,417,0
36,0,244,346,0
37,15,214,300,0
38,30,228,677,0
39,-30,222,538,0
40,0,321,458,0
41,-45,272,480,0
42,-60,277,656,0
43,45,244,609,0
44,30,236,662,0
45,15,243,379,0
46,-15,220,458,0
47,-30,206,674,0
48,60,262,716,0
49,-30,314,305,0
50,15,250,312,0
51,30,255,324,0
52,-30,237,453,0
53,-15,261,430,0
54,-30,283,387,0
55,-30,307,315,0
56,30,314,377,0
57,0,243,453,0
58,45,203,781,0
59,-45,231,529,0
60,-30,254,683,0
61,-60,264,618,0
62,-45,268,405,0
63,-60,296,549,0
64,30,245,732,0
65,45,240,471,0
66,-15,241,686,0
67,-60,305,784,0
68,-30,244,771,0
69,60,196,669,0
70,-30,213,362,0
71,45,241,567,0
72,-15,253,750,0
73,60,297,375,0
74,-60,272,336,0
75,15,212,664,0
76,-30,254,531,0
77,-45,256,652,0
78,0,213,618,0
79,15,203,704,0
80,0,182,735,0
81,-60,283,409,0
82,-45,295,345,0
83,15,219,646,0
84,60,324,308,0
85,-60,296,521,0
86,45,232,406,0
87,60,253,442,0
88,15,213,760,0
89,0,270,384,0
90,-60,278,425,0
91,-60,338,361,0
92,0,205,706,0
93,60,107,619,0
94,15,283,553,0
95,15,289,615,0
96,-15,356,319,0
97,-30,210,345,0
98,60,255,499,0
99,15,164,635,0
100,60,250,451,0
101,15,290,302,0
102,-45,247,697,0
103,45,256,332,0
104,-30,177,597,0
105,-45,219,508,0
106,-15,246,300,0
107,0,209,619,0
108,-60,161,769,0
109,-15,257,582,0
110,-60,253,616,0
111,-15,324,330,0
112,-15,183,715,0
113,60,317,722,0
114,15,229,459,0
115,0,239,401,0
116,-15,236,743,0
117,-60,294,480,0
118,60,253,324,0
119,60,237,533,0
120,15,249,324,0
121,30,224,531,0
122,60,326,301,0
123,15,228,309,0
124,-45,250,679,0
125,60,255,752,0
126,-30,255,552,0
127,-30,245,640,0
128,0,272,694,0
129,60,281,562,0
130,-15,249,760,0
131,-45,259,732,0
132,45,241,316,0
133,-15,221,696,0
134,0,264,356,0
135,0,149,669,0
136,60,292,335,0
137,-45,249,794,0
138,30,239,715,0
139,0,220,566,0
140,45,262,742,0
141,-60,354,702,0
142,-30,258,473,0
143,-60,303,751,0
144,15,256,641,0
145,30,278,489,0
146,60,241,732,0
147,-15,278,577,0
148,-15,248,530,0
149,-45,380,667,0
150,-30,261,349,0
151,-15,298,333,0
152,60,263,360,0
153,30,239,384,0
154,-45,266,355,0
155,-15,227,743,0
156,-60,184,651,0
157,-45,244,449,0
158,30,185,675,0
159,-15,250,572,0
160,15,225,662,0
161,30,242,641,0
162,45,268,739,0
163,30,241,564,0
164,-45,259,785,0
165,-60,237,387,0
166,0,244,755,0
167,-30,249,563,0
168,0,218,737,0
169,-30,247,605,0
170,-45,255,631,0
171,30,253,513,0
172,-30,239,573,0
173,30,286,354,0
174,45,241,402,0
175,-45,255,619,0
176,30,235,690,0
177,45,255,556,0
178,30,275,485,0
179,30,214,676,0
180,-15,432,707,0
181,60,250,417,0
182,-30,267,703,0
183,15,280,433,0
184,15,241,431,0
185,0,300,585,0
186,-15,290,340,0
187,-30,253,779,0
188,-30,175,657,0
189,-15,224,775,0
190,-15,260,527,0
191,15,216,643,0
192,30,243,749,0
193,0,207,758,0
194,-15,223,743,0
195,-30,272,446,0
196,45,247,705,0
197,15,313,337,0
198,15,253,741,0
199,-45,307,689,0
200,-60,411,497,0
